,name_location,name_proxy,date_peak,date_detected
0,State,Georgia,2025-03-08,2025-03-29
1,State,Kansas,2024-12-28,2025-03-29
2,State,Maine,2025-01-04,2025-03-29
3,State,Minnesota,2025-01-04,2025-03-29
4,State,Nebraska,2025-01-04,2025-03-29
5,State,New Mexico,2024-12-28,2025-03-29
6,State,North Dakota,2024-12-28,2025-03-29
7,State,Rhode Island,2025-01-04,2025-03-29
8,State,South Dakota,2025-01-04,2025-03-29
9,State,West Virginia,2024-12-28,2025-03-29
10,State,Wisconsin,2025-01-04,2025-03-29
