"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jan-09-2025)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,YEAR,WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE 
Minnesota,EIP,2024-25,2024,40,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
Minnesota,EIP,2024-25,2024,40,Overall,Overall,Overall,Overall,0.1,0.1,null,null
Minnesota,EIP,2024-25,2024,40,Overall,Overall,Overall,Influenza A,0.1,0.1,null,null
Minnesota,EIP,2024-25,2024,40,Overall,Overall,Overall,Influenza B,0,0,null,null
New Mexico,EIP,2024-25,2024,40,Overall,Female,Overall,Overall,0,0,null,null
New Mexico,EIP,2024-25,2024,40,Overall,Male,Overall,Overall,0,0,null,null
New Mexico,EIP,2024-25,2024,40,Overall,Overall,White,Overall,0,0,null,null
New Mexico,EIP,2024-25,2024,40,Overall,Overall,Black,Overall,0,0,null,null
New Mexico,EIP,2024-25,2024,40,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null
New Mexico,EIP,2024-25,2024,40,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null
New Mexico,EIP,2024-25,2024,40,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
New Mexico,EIP,2024-25,2024,40,Overall,Overall,Overall,Overall,0,0,null,null
New Mexico,EIP,2024-25,2024,40,Overall,Overall,Overall,Influenza A,0,0,null,null
New Mexico,EIP,2024-25,2024,40,Overall,Overall,Overall,Influenza B,0,0,null,null
New York - Albany,EIP,2024-25,2024,40,Overall,Female,Overall,Overall,0,0,null,null
New York - Albany,EIP,2024-25,2024,40,Overall,Male,Overall,Overall,0,0,null,null
New York - Albany,EIP,2024-25,2024,40,Overall,Overall,White,Overall,0,0,null,null
New York - Albany,EIP,2024-25,2024,40,Overall,Overall,Black,Overall,0,0,null,null
New York - Albany,EIP,2024-25,2024,40,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null
New York - Albany,EIP,2024-25,2024,40,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null
New York - Albany,EIP,2024-25,2024,40,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
New York - Albany,EIP,2024-25,2024,40,Overall,Overall,Overall,Influenza B,0,0,null,null
New York - Albany,EIP,2024-25,2024,40,Overall,Overall,Overall,Influenza A,0,0,null,null
New York - Albany,EIP,2024-25,2024,40,Overall,Overall,Overall,Overall,0,0,null,null
New York - Rochester,EIP,2024-25,2024,40,Overall,Female,Overall,Overall,0,0,null,null
New York - Rochester,EIP,2024-25,2024,40,Overall,Male,Overall,Overall,0,0,null,null
New York - Rochester,EIP,2024-25,2024,40,Overall,Overall,White,Overall,0,0,null,null
New York - Rochester,EIP,2024-25,2024,40,Overall,Overall,Black,Overall,0,0,null,null
New York - Rochester,EIP,2024-25,2024,40,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null
New York - Rochester,EIP,2024-25,2024,40,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null
New York - Rochester,EIP,2024-25,2024,40,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
New York - Rochester,EIP,2024-25,2024,40,Overall,Overall,Overall,Influenza A,0,0,null,null
New York - Rochester,EIP,2024-25,2024,40,Overall,Overall,Overall,Influenza B,0,0,null,null
New York - Rochester,EIP,2024-25,2024,40,Overall,Overall,Overall,Overall,0,0,null,null
Oregon,EIP,2024-25,2024,40,Overall,Female,Overall,Overall,0,0,null,null
Oregon,EIP,2024-25,2024,40,Overall,Male,Overall,Overall,0,0,null,null
Oregon,EIP,2024-25,2024,40,Overall,Overall,White,Overall,0,0,null,null
Oregon,EIP,2024-25,2024,40,Overall,Overall,Black,Overall,0,0,null,null
Oregon,EIP,2024-25,2024,40,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null
Oregon,EIP,2024-25,2024,40,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null
Oregon,EIP,2024-25,2024,40,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
Oregon,EIP,2024-25,2024,40,Overall,Overall,Overall,Overall,0,0,null,null
Oregon,EIP,2024-25,2024,40,Overall,Overall,Overall,Influenza B,0,0,null,null
Oregon,EIP,2024-25,2024,40,Overall,Overall,Overall,Influenza A,0,0,null,null
Tennessee,EIP,2024-25,2024,40,Overall,Female,Overall,Overall,0.3,0.3,null,null
Tennessee,EIP,2024-25,2024,40,Overall,Male,Overall,Overall,0,0,null,null
Tennessee,EIP,2024-25,2024,40,Overall,Overall,White,Overall,0.2,0.2,null,null
Tennessee,EIP,2024-25,2024,40,Overall,Overall,Black,Overall,0.3,0.3,null,null
Tennessee,EIP,2024-25,2024,40,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null
Tennessee,EIP,2024-25,2024,40,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null
Tennessee,EIP,2024-25,2024,40,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
Tennessee,EIP,2024-25,2024,40,Overall,Overall,Overall,Overall,0.2,0.2,null,null
Tennessee,EIP,2024-25,2024,40,Overall,Overall,Overall,Influenza B,0.1,0.1,null,null
Tennessee,EIP,2024-25,2024,40,Overall,Overall,Overall,Influenza A,0.1,0.1,null,null
Utah,IHSP,2024-25,2024,41,Overall,Overall,White,Overall,0.4,0.1,null,null
Utah,IHSP,2024-25,2024,41,Overall,Overall,Black,Overall,0,0,null,null
Utah,IHSP,2024-25,2024,41,Overall,Overall,Hispanic/Latino,Overall,0.4,0.4,null,null
Utah,IHSP,2024-25,2024,41,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null
Utah,IHSP,2024-25,2024,41,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
Utah,IHSP,2024-25,2024,41,Overall,Overall,Overall,Overall,0.3,0.2,null,null
Utah,IHSP,2024-25,2024,41,Overall,Overall,Overall,Influenza B,0.1,0.1,null,null
Utah,IHSP,2024-25,2024,41,Overall,Overall,Overall,Influenza A,0.3,0.1,null,null
Tennessee,EIP,2024-25,2024,41,Overall,Overall,White,Overall,0.8,0.6,null,null
Tennessee,EIP,2024-25,2024,41,Overall,Overall,Black,Overall,0.3,0,null,null
Tennessee,EIP,2024-25,2024,41,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null
Tennessee,EIP,2024-25,2024,41,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null
Tennessee,EIP,2024-25,2024,41,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
Tennessee,EIP,2024-25,2024,41,Overall,Overall,Overall,Overall,0.6,0.4,null,null
Tennessee,EIP,2024-25,2024,41,Overall,Overall,Overall,Influenza B,0.4,0.3,null,null
Tennessee,EIP,2024-25,2024,41,Overall,Overall,Overall,Influenza A,0.2,0.2,null,null
Tennessee,EIP,2024-25,2024,41,Overall,Female,Overall,Overall,0.9,0.6,null,null
Tennessee,EIP,2024-25,2024,41,Overall,Male,Overall,Overall,0.2,0.2,null,null
Oregon,EIP,2024-25,2024,41,Overall,Overall,White,Overall,0.2,0.2,null,null
Oregon,EIP,2024-25,2024,41,Overall,Overall,Black,Overall,0,0,null,null
Oregon,EIP,2024-25,2024,41,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null
Oregon,EIP,2024-25,2024,41,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null
Oregon,EIP,2024-25,2024,41,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
Oregon,EIP,2024-25,2024,41,Overall,Overall,Overall,Overall,0.1,0.1,null,null
Oregon,EIP,2024-25,2024,41,Overall,Overall,Overall,Influenza B,0,0,null,null
Oregon,EIP,2024-25,2024,41,Overall,Overall,Overall,Influenza A,0.1,0.1,null,null
Oregon,EIP,2024-25,2024,41,Overall,Female,Overall,Overall,0.1,0.1,null,null
Oregon,EIP,2024-25,2024,41,Overall,Male,Overall,Overall,0.1,0.1,null,null
New York - Rochester,EIP,2024-25,2024,41,Overall,Overall,White,Overall,0,0,null,null
New York - Rochester,EIP,2024-25,2024,41,Overall,Overall,Black,Overall,0,0,null,null
New York - Rochester,EIP,2024-25,2024,41,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null
New York - Rochester,EIP,2024-25,2024,41,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null
New York - Rochester,EIP,2024-25,2024,41,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
New York - Rochester,EIP,2024-25,2024,41,Overall,Overall,Overall,Influenza A,0,0,null,null
New York - Rochester,EIP,2024-25,2024,41,Overall,Overall,Overall,Influenza B,0,0,null,null
New York - Rochester,EIP,2024-25,2024,41,Overall,Overall,Overall,Overall,0,0,null,null
New York - Rochester,EIP,2024-25,2024,41,Overall,Female,Overall,Overall,0,0,null,null
New York - Rochester,EIP,2024-25,2024,41,Overall,Male,Overall,Overall,0,0,null,null
New York - Albany,EIP,2024-25,2024,41,Overall,Overall,White,Overall,0.1,0.1,null,null
New York - Albany,EIP,2024-25,2024,41,Overall,Overall,Black,Overall,0,0,null,null
New York - Albany,EIP,2024-25,2024,41,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null
New York - Albany,EIP,2024-25,2024,41,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null
New York - Albany,EIP,2024-25,2024,41,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
New York - Albany,EIP,2024-25,2024,41,Overall,Overall,Overall,Overall,0.1,0.1,null,null
New York - Albany,EIP,2024-25,2024,41,Overall,Overall,Overall,Influenza B,0.1,0.1,null,null
New York - Albany,EIP,2024-25,2024,41,Overall,Overall,Overall,Influenza A,0,0,null,null
New York - Albany,EIP,2024-25,2024,41,Overall,Female,Overall,Overall,0.2,0.2,null,null
New York - Albany,EIP,2024-25,2024,41,Overall,Male,Overall,Overall,0,0,null,null
New Mexico,EIP,2024-25,2024,41,Overall,Female,Overall,Overall,0,0,null,null
New Mexico,EIP,2024-25,2024,41,Overall,Male,Overall,Overall,0.2,0.2,null,null
New Mexico,EIP,2024-25,2024,41,Overall,Overall,White,Overall,0.2,0.2,null,null
New Mexico,EIP,2024-25,2024,41,Overall,Overall,Black,Overall,0,0,null,null
New Mexico,EIP,2024-25,2024,41,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null
New Mexico,EIP,2024-25,2024,41,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null
New Mexico,EIP,2024-25,2024,41,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
New Mexico,EIP,2024-25,2024,41,Overall,Overall,Overall,Overall,0.1,0.1,null,null
New Mexico,EIP,2024-25,2024,41,Overall,Overall,Overall,Influenza B,0,0,null,null
New Mexico,EIP,2024-25,2024,41,Overall,Overall,Overall,Influenza A,0.1,0.1,null,null
Minnesota,EIP,2024-25,2024,41,Overall,Female,Overall,Overall,0,0,null,null
Minnesota,EIP,2024-25,2024,41,Overall,Male,Overall,Overall,0.1,0,null,null
Minnesota,EIP,2024-25,2024,41,Overall,Overall,White,Overall,0,0,null,null
Minnesota,EIP,2024-25,2024,41,Overall,Overall,Black,Overall,0.3,0,null,null
Minnesota,EIP,2024-25,2024,41,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null
Minnesota,EIP,2024-25,2024,41,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null
Minnesota,EIP,2024-25,2024,41,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
Minnesota,EIP,2024-25,2024,41,Overall,Overall,Overall,Overall,0.1,0,null,null
Minnesota,EIP,2024-25,2024,41,Overall,Overall,Overall,Influenza B,0,0,null,null
Minnesota,EIP,2024-25,2024,41,Overall,Overall,Overall,Influenza A,0.1,0,null,null
Georgia,EIP,2024-25,2024,41,Overall,Overall,White,Overall,0,0,null,null
Georgia,EIP,2024-25,2024,41,Overall,Overall,Black,Overall,0.2,0.1,null,null
Georgia,EIP,2024-25,2024,41,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null
Georgia,EIP,2024-25,2024,41,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null
Georgia,EIP,2024-25,2024,41,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
Georgia,EIP,2024-25,2024,41,Overall,Overall,Overall,Influenza A,0.1,0,null,null
Georgia,EIP,2024-25,2024,41,Overall,Overall,Overall,Overall,0.1,0,null,null
Georgia,EIP,2024-25,2024,41,Overall,Overall,Overall,Influenza B,0,0,null,null
Michigan,EIP,2024-25,2024,41,Overall,Female,Overall,Overall,0,0,null,null
Michigan,EIP,2024-25,2024,41,Overall,Male,Overall,Overall,0,0,null,null
Michigan,EIP,2024-25,2024,41,Overall,Overall,White,Overall,0,0,null,null
Michigan,EIP,2024-25,2024,41,Overall,Overall,Black,Overall,0,0,null,null
Michigan,EIP,2024-25,2024,41,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null
Michigan,EIP,2024-25,2024,41,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null
Michigan,EIP,2024-25,2024,41,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
Michigan,EIP,2024-25,2024,41,Overall,Overall,Overall,Overall,0,0,null,null
Michigan,EIP,2024-25,2024,41,Overall,Overall,Overall,Influenza A,0,0,null,null
Michigan,EIP,2024-25,2024,41,Overall,Overall,Overall,Influenza B,0,0,null,null
Georgia,EIP,2024-25,2024,41,Overall,Female,Overall,Overall,0,0,null,null
Georgia,EIP,2024-25,2024,41,Overall,Male,Overall,Overall,0.1,0,null,null
Colorado,EIP,2024-25,2024,41,Overall,Overall,White,Overall,0.1,0.1,null,null
Colorado,EIP,2024-25,2024,41,Overall,Overall,Black,Overall,0.6,0,null,null
Colorado,EIP,2024-25,2024,41,Overall,Overall,Hispanic/Latino,Overall,0.3,0.3,null,null
Colorado,EIP,2024-25,2024,41,Overall,Overall,Asian/Pacific Islander,Overall,0.7,0.7,null,null
Colorado,EIP,2024-25,2024,41,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
Colorado,EIP,2024-25,2024,41,Overall,Overall,Overall,Overall,0.2,0.1,null,null
Colorado,EIP,2024-25,2024,41,Overall,Overall,Overall,Influenza B,0,0,null,null
Colorado,EIP,2024-25,2024,41,Overall,Overall,Overall,Influenza A,0.1,0.1,null,null
Colorado,EIP,2024-25,2024,41,Overall,Female,Overall,Overall,0.1,0.1,null,null
Colorado,EIP,2024-25,2024,41,Overall,Male,Overall,Overall,0.2,0.2,null,null
Connecticut,EIP,2024-25,2024,41,Overall,Female,Overall,Overall,0.2,0.2,null,null
Connecticut,EIP,2024-25,2024,41,Overall,Male,Overall,Overall,0.7,0.3,null,null
Connecticut,EIP,2024-25,2024,41,Overall,Overall,White,Overall,0.5,0.3,null,null
Connecticut,EIP,2024-25,2024,41,Overall,Overall,Black,Overall,0.7,0.7,null,null
Connecticut,EIP,2024-25,2024,41,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null
Connecticut,EIP,2024-25,2024,41,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null
Connecticut,EIP,2024-25,2024,41,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
Connecticut,EIP,2024-25,2024,41,Overall,Overall,Overall,Overall,0.4,0.2,null,null
Connecticut,EIP,2024-25,2024,41,Overall,Overall,Overall,Influenza B,0.1,0.1,null,null
Connecticut,EIP,2024-25,2024,41,Overall,Overall,Overall,Influenza A,0.3,0.2,null,null
California,EIP,2024-25,2024,41,Overall,Female,Overall,Overall,0.4,0.3,null,null
California,EIP,2024-25,2024,41,Overall,Male,Overall,Overall,0.2,0,null,null
California,EIP,2024-25,2024,41,Overall,Overall,White,Overall,0.2,0.2,null,null
California,EIP,2024-25,2024,41,Overall,Overall,Black,Overall,1.4,0.7,null,null
California,EIP,2024-25,2024,41,Overall,Overall,Hispanic/Latino,Overall,0.1,0,null,null
California,EIP,2024-25,2024,41,Overall,Overall,Asian/Pacific Islander,Overall,0.3,0.1,null,null
California,EIP,2024-25,2024,41,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
California,EIP,2024-25,2024,41,Overall,Overall,Overall,Influenza B,0,0,null,null
California,EIP,2024-25,2024,41,Overall,Overall,Overall,Influenza A,0.3,0.1,null,null
California,EIP,2024-25,2024,41,Overall,Overall,Overall,Overall,0.3,0.1,null,null
Utah,IHSP,2024-25,2024,42,Overall,Overall,White,Overall,0.5,0.1,null,null
Utah,IHSP,2024-25,2024,42,Overall,Overall,Black,Overall,0,0,null,null
Utah,IHSP,2024-25,2024,42,Overall,Overall,Hispanic/Latino,Overall,0.8,0.4,null,null
Utah,IHSP,2024-25,2024,42,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null
Utah,IHSP,2024-25,2024,42,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
Utah,IHSP,2024-25,2024,42,Overall,Overall,Overall,Overall,0.5,0.2,null,null
Utah,IHSP,2024-25,2024,42,Overall,Overall,Overall,Influenza B,0.1,0,null,null
Utah,IHSP,2024-25,2024,42,Overall,Overall,Overall,Influenza A,0.4,0.2,null,null
California,EIP,2024-25,2024,42,Overall,Female,Overall,Overall,0.6,0.2,null,null
California,EIP,2024-25,2024,42,Overall,Male,Overall,Overall,0.5,0.3,null,null
California,EIP,2024-25,2024,42,Overall,Overall,White,Overall,0.3,0.1,null,null
California,EIP,2024-25,2024,42,Overall,Overall,Black,Overall,1.7,0.3,null,null
California,EIP,2024-25,2024,42,Overall,Overall,Hispanic/Latino,Overall,0.4,0.2,null,null
California,EIP,2024-25,2024,42,Overall,Overall,Asian/Pacific Islander,Overall,0.7,0.5,null,null
California,EIP,2024-25,2024,42,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
California,EIP,2024-25,2024,42,Overall,Overall,Overall,Influenza A,0.5,0.2,null,null
California,EIP,2024-25,2024,42,Overall,Overall,Overall,Influenza B,0,0,null,null
California,EIP,2024-25,2024,42,Overall,Overall,Overall,Overall,0.6,0.3,null,null
Connecticut,EIP,2024-25,2024,42,Overall,Male,Overall,Overall,0.9,0.2,null,null
Connecticut,EIP,2024-25,2024,42,Overall,Overall,White,Overall,0.7,0.1,null,null
Connecticut,EIP,2024-25,2024,42,Overall,Overall,Black,Overall,0.7,0,null,null
Connecticut,EIP,2024-25,2024,42,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null
Connecticut,EIP,2024-25,2024,42,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null
Connecticut,EIP,2024-25,2024,42,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
Connecticut,EIP,2024-25,2024,42,Overall,Overall,Overall,Overall,0.5,0.1,null,null
Connecticut,EIP,2024-25,2024,42,Overall,Overall,Overall,Influenza B,0.2,0.1,null,null
Connecticut,EIP,2024-25,2024,42,Overall,Overall,Overall,Influenza A,0.3,0,null,null
Connecticut,EIP,2024-25,2024,42,Overall,Female,Overall,Overall,0.2,0,null,null
Colorado,EIP,2024-25,2024,42,Overall,Overall,White,Overall,0.1,0.1,null,null
Colorado,EIP,2024-25,2024,42,Overall,Overall,Black,Overall,0.6,0,null,null
Colorado,EIP,2024-25,2024,42,Overall,Overall,Hispanic/Latino,Overall,0.6,0.3,null,null
Colorado,EIP,2024-25,2024,42,Overall,Overall,Asian/Pacific Islander,Overall,0.7,0,null,null
Colorado,EIP,2024-25,2024,42,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
Colorado,EIP,2024-25,2024,42,Overall,Overall,Overall,Overall,0.3,0.1,null,null
Colorado,EIP,2024-25,2024,42,Overall,Overall,Overall,Influenza A,0.2,0.1,null,null
Colorado,EIP,2024-25,2024,42,Overall,Overall,Overall,Influenza B,0,0,null,null
Colorado,EIP,2024-25,2024,42,Overall,Female,Overall,Overall,0.2,0.1,null,null
Colorado,EIP,2024-25,2024,42,Overall,Male,Overall,Overall,0.3,0.1,null,null
Georgia,EIP,2024-25,2024,42,Overall,Overall,White,Overall,0,0,null,null
Georgia,EIP,2024-25,2024,42,Overall,Overall,Black,Overall,0.3,0.1,null,null
Georgia,EIP,2024-25,2024,42,Overall,Overall,Hispanic/Latino,Overall,0.2,0.2,null,null
Georgia,EIP,2024-25,2024,42,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null
Georgia,EIP,2024-25,2024,42,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
Georgia,EIP,2024-25,2024,42,Overall,Overall,Overall,Overall,0.2,0.1,null,null
Georgia,EIP,2024-25,2024,42,Overall,Overall,Overall,Influenza B,0,0,null,null
Georgia,EIP,2024-25,2024,42,Overall,Overall,Overall,Influenza A,0.2,0.1,null,null
Michigan,EIP,2024-25,2024,42,Overall,Female,Overall,Overall,0,0,null,null
Michigan,EIP,2024-25,2024,42,Overall,Male,Overall,Overall,0,0,null,null
Georgia,EIP,2024-25,2024,42,Overall,Female,Overall,Overall,0.1,0,null,null
Georgia,EIP,2024-25,2024,42,Overall,Male,Overall,Overall,0.2,0.1,null,null
Michigan,EIP,2024-25,2024,42,Overall,Overall,White,Overall,0,0,null,null
Michigan,EIP,2024-25,2024,42,Overall,Overall,Black,Overall,0,0,null,null
