week_end,state,season,ili_rescaled,flu_times_coef,rsv_times_coef,covid_times_coef
2023-04-15,Arkansas,22-23,0.02786148521421015,0.013958533923420316,0.0015087748612004988,0.03851169253579017
2023-05-13,Arkansas,22-23,0.0028048706131305686,0.009663600408521754,5.029249537334995e-4,0.005204282775106778
2022-11-12,Arkansas,22-23,0.6988469056542869,0.5680049573453343,0.040233996298679964,0.057247110526174566
2022-12-10,Arkansas,22-23,0.7389982604953105,0.535792955983595,0.015087748612004986,0.1571693398082247
2022-12-31,Arkansas,22-23,0.5184807130175922,0.2662858779237106,0.011064348982136991,0.3060118271762786
2023-01-21,Arkansas,22-23,0.20334271828990555,0.05798160245113052,0.007040949352268995,0.11033079483226373
2023-04-01,Arkansas,22-23,0.07150619586464144,0.019327200817043512,0.0015087748612004988,0.041634262200854234
2023-05-06,Arkansas,22-23,0.061714757096999785,0,0.0010058499074669992,0.031225696650640667
2023-05-27,Arkansas,22-23,0.034978749349927375,0.0010737333787246405,5.029249537334995e-4,0
2022-10-01,Connecticut,22-23,0.0941698346985119,0.0010244731045781644,0.023693875886612245,0.11849918832168271
2022-10-08,Connecticut,22-23,0.12514959171505052,0.011269204150359813,0.0390948952129102,0.11688145196234233
2022-10-15,Connecticut,22-23,0.15390080219217936,0.01844051588240697,0.04975713936188571,0.10717503380630004
2022-11-12,Connecticut,22-23,0.4485270590092623,0.2714853727132137,0.09951427872377142,0.07562917479916269
2022-12-31,Connecticut,22-23,0.5598261141675512,0.3442229631382634,0.015401019326297958,0.20302591309721746
2023-01-07,Connecticut,22-23,0.3639846581274288,0.1813317395103352,0.014216325531967344,0.1735022245392556
2023-01-28,Connecticut,22-23,0.1279025021460861,0.023562881405297793,0.004738775177322448,0.09463757702141212
2023-02-25,Connecticut,22-23,0.11601833018292124,0.011269204150359813,0.004738775177322448,0.046914354420870975
2023-03-11,Connecticut,22-23,0.0860548806014961,0.013318150359516143,0.001184693794330612,0.025479347659610962
2023-04-01,Connecticut,22-23,0.08789297338289417,0.012293677254937978,0.001184693794330612,0.017390665862909067
2023-04-15,Connecticut,22-23,0.07062984278950313,0.0030734193137344945,0.001184693794330612,0.006875379527196607
2023-04-29,Connecticut,22-23,0.025244174556792693,0.00409789241831266,0.001184693794330612,0.0028310386288456623
2023-05-27,Connecticut,22-23,0,0.002048946209156329,0,0.005662077257691322
2022-11-26,Connecticut,22-23,0.8284202410100489,0.7048374959497775,0.06160407730519183,0.08412229068569968
2022-12-17,Connecticut,22-23,0.741697219320836,0.5767783578775069,0.02250918209228163,0.13669872236426198
2023-02-04,Connecticut,22-23,0.12026116704795811,0.01946498898698513,0.007108162765983672,0.07886464751784344
2023-03-25,Connecticut,22-23,0.094809784179152,0.007171311732047155,0.002369387588661224,0.015772929503568688
2023-04-08,Connecticut,22-23,0.06731873853834973,0.014342623464094307,0.001184693794330612,0.013750759054393217
2022-10-29,Connecticut,22-23,0.3248321542193673,0.12703466496769245,0.0876673407804653,0.09099767021289629
2022-11-05,Connecticut,22-23,0.44747269290459535,0.24587354509875958,0.10425305390109386,0.08574002704504005
2022-12-10,Connecticut,22-23,0.8963070404309934,0.7027885497406211,0.030802038652595915,0.1180947542318476
2023-01-14,Connecticut,22-23,0.21399262225642804,0.06249285937926805,0.010662244148975509,0.13467655191508648
2023-02-11,Connecticut,22-23,0.10076526117409583,0.013318150359516143,0.007108162765983672,0.07118039981097665
2023-02-18,Connecticut,22-23,0.12009906530726734,0.015367096568672474,0.003554081382991836,0.05500303621757287
2023-03-04,Connecticut,22-23,0.09160862719559759,0.008195784836625317,0.003554081382991836,0.03437689763598305
2023-03-18,Connecticut,22-23,0.09823365485861202,0.008195784836625317,0.003554081382991836,0.019008402222249445
2023-04-22,Connecticut,22-23,0.027512189346109755,0.0030734193137344945,0.001184693794330612,0.0028310386288456623
2023-05-13,Connecticut,22-23,0.02123109928943054,0.0010244731045781644,0.001184693794330612,0.0012133022695052825
2023-05-20,Connecticut,22-23,0.019883540471166323,0,0.002369387588661224,0
2022-10-22,Connecticut,22-23,0.19474057378377885,0.04200339728770477,0.0687122400711755,0.09382870884174194
2022-11-19,Connecticut,22-23,0.49509677473919234,0.3493453286611542,0.07345101524849795,0.07118039981097665
2022-12-03,Connecticut,22-23,1,0.8154805912442193,0.036725507624248976,0.1120282428843212
2022-12-24,Connecticut,22-23,0.6470678614269746,0.5040407674524571,0.02013979450362041,0.16945788364090458
2023-01-21,Connecticut,22-23,0.14144434060535835,0.035856558660235766,0.008292856560314286,0.10757946789613516
2023-05-06,Connecticut,22-23,0.03498578438213159,0.0030734193137344945,0.001184693794330612,0.0012133022695052825
2022-10-01,Delaware,22-23,0.10330743866912809,0.006888270315146956,0.03202286609901232,0.14386603609904805
2022-10-15,Delaware,22-23,0.1544796346291336,0.026569042644138254,0.07350703354546011,0.11900030146464466
2022-10-22,Delaware,22-23,0.18897658275799514,0.05215404667182695,0.08624340074393091,0.08821415382205004
2022-11-19,Delaware,22-23,0.5824618782879644,0.49201930822478257,0.04366754468047134,0.0639404604884658
2022-12-24,Delaware,22-23,0.7765351392016051,0.5284287370334164,0.013100263404141404,0.1829407619531105
2023-02-25,Delaware,22-23,0.18209053172985604,0.009840386164495651,0.0025472734396941622,0.08999027772450742
2023-04-15,Delaware,22-23,0.07217215060877358,0.00590423169869739,0.0010916886170117836,0.015393073821297322
2023-04-22,Delaware,22-23,0.008507357570454467,0.002952115849348695,0.0014555848226823782,0.007104495609829533
2022-12-31,Delaware,22-23,0.687386621920118,0.4339610298542582,0.010189093758776649,0.2474732637423954
2023-01-14,Delaware,22-23,0.18009641138369278,0.08856347548046085,0.005822339290729513,0.16458748162771752
2023-02-18,Delaware,22-23,0.2159672350687738,0.009840386164495651,0.005458443085058918,0.12136846666792118
2023-03-11,Delaware,22-23,0.06982755860979797,0.003936154465798261,0.001819481028352973,0.05565188227699801
2023-04-08,Delaware,22-23,0.03946624267710991,0,3.6389620567059454e-4,0.023089610731945986
2022-11-12,Delaware,22-23,0.654086812928836,0.4359291070871573,0.07750989180783664,0.08288578211467788
2022-12-10,Delaware,22-23,0.8008247254916606,0.7222843444739807,0.02183377234023567,0.13143316878184638
2022-12-17,Delaware,22-23,0.9103879664507594,0.6445452937744651,0.019286498900541512,0.16103523382280277
2023-01-21,Delaware,22-23,0.15398944116611357,0.06002635560342347,0.005458443085058918,0.1462342013023246
2023-02-04,Delaware,22-23,0.23319736856145895,0.01180846339739478,0.005458443085058918,0.16340339902607925
2023-03-04,Delaware,22-23,0.06456514837856007,0.012792502013844345,0.0021833772340235673,0.06098025398437017
2023-03-25,Delaware,22-23,0.13232755860979797,0.00590423169869739,0.0010916886170117836,0.03493043674832854
2023-05-06,Delaware,22-23,0.02846590120901049,0.006888270315146956,7.277924113411891e-4,0.0029602065040956384
2023-05-20,Delaware,22-23,0.030093210120260797,0.00590423169869739,0,0.00828857821146779
2023-05-27,Delaware,22-23,0.05201352800571959,0.0049201930822478255,0,0.001776123902457385
2022-10-08,Delaware,22-23,0.08322117795823417,0.018696733712541738,0.0469426105315067,0.12551275577365512
2022-10-29,Delaware,22-23,0.3646392442884125,0.15449406278258174,0.08842677797795448,0.09235844292778395
2022-11-05,Delaware,22-23,0.6675054421478342,0.3798389059495321,0.09497690968002517,0.0852539473179544
2022-11-26,Delaware,22-23,0.8424478194060591,0.8206882061189372,0.03638962056705945,0.11071172325317691
2022-12-03,Delaware,22-23,1,0.7636139663648625,0.03457013953870648,0.11959234276546381
2023-01-07,Delaware,22-23,0.47761383159220183,0.22436080455050084,0.014191952021153188,0.2303040660186407
2023-01-28,Delaware,22-23,0.16680116419280142,0.02755308126058782,0.006550131702070702,0.1426819534974098
2023-02-11,Delaware,22-23,0.15763754761879356,0.018696733712541738,0.003638962056705946,0.1320252100826655
2023-03-18,Delaware,22-23,0.1272122064174661,0.0049201930822478255,0.003275065851035351,0.056835964878636264
2023-04-01,Delaware,22-23,0.16687119183037574,0.009840386164495651,3.6389620567059454e-4,0.019537362927031215
2023-04-29,Delaware,22-23,0,0.00590423169869739,3.6389620567059454e-4,0
2023-05-13,Delaware,22-23,0.02882604334510686,0.0049201930822478255,0.001819481028352973,0.004144289105733895
2022-10-01,District of Columbia,22-23,0.283171443218061,0.002199281071490806,0.28488731630260455,0.03108995682081022
2022-10-08,District of Columbia,22-23,0.38221483686326435,0.015394967500435638,0.366283692389063,0.02420575209620224
2022-10-15,District of Columbia,22-23,0.36158267241987946,0.023092451250653453,0.397937838644908,0.01954225857308071
2022-11-05,District of Columbia,22-23,1,0.395870592868345,0.44768006847552144,0.03508723698348582
2022-12-10,District of Columbia,22-23,0.6023642471316646,0.40576735769005357,0.13339961636391803,0.06639926492444467
2022-12-31,District of Columbia,22-23,0.24557125740170196,0.1616471587545742,0.10852850144861126,0.10925899111313306
2023-01-21,District of Columbia,22-23,0.12884154346271243,0.03408885660810749,0.056525261171151704,0.059292989079688066
2023-02-04,District of Columbia,22-23,0.20272401052277225,0.015394967500435638,0.011305052234230341,0.037085877064823615
2023-03-18,District of Columbia,22-23,0.23460850150771148,0.01759424857192644,0.02261010446846068,0.007772489205202555
2023-04-22,District of Columbia,22-23,0,0,0.009044041787384272,0.0011103556007432231
2023-05-20,District of Columbia,22-23,0.13612685445442532,0.006597843214472417,0.004522020893692137,0.002220711201486445
2022-10-29,District of Columbia,22-23,0.8063253280180578,0.27161121232911445,0.4725511833908282,0.02931338785962106
2022-11-12,District of Columbia,22-23,0.996122004401883,0.4662475871560508,0.3956768281980619,0.029979601220067
2022-11-26,District of Columbia,22-23,0.8236995668718902,0.7598516102000733,0.21705700289722252,0.04796736195210719
2022-12-17,District of Columbia,22-23,0.5376539047527445,0.2947036635797679,0.13566062681076407,0.07794696317217419
2022-12-24,District of Columbia,22-23,0.4329981612775489,0.21003134232737192,0.11078951189545733,0.09326987046243067
2023-01-28,District of Columbia,22-23,0.12495843177541595,0.038487418751089096,0.04069818804322923,0.05085428651403957
2023-02-11,District of Columbia,22-23,0.18394080070888527,0.025291732322144263,0.02261010446846068,0.03464309474318853
2023-03-04,District of Columbia,22-23,0.06047831340957668,0.027491013393635067,0.013566062681076407,0.017099476251445624
2023-04-01,District of Columbia,22-23,0.227365142447271,0.038487418751089096,0.015827073127922475,0.006662133604459334
2023-04-08,District of Columbia,22-23,0.17183818014568578,0.01979352964341725,0.002261010446846068,0.007106275844756623
2023-04-29,District of Columbia,22-23,0.07140525667931022,0.006597843214472417,0.009044041787384272,0
2022-10-22,District of Columbia,22-23,0.4747955866568301,0.09127016446686843,0.4408970371349833,0.027758890018580555
2023-01-14,District of Columbia,22-23,0.2741057331918564,0.04948382410854312,0.07687435519276631,0.07594832309083639
2023-03-11,District of Columbia,22-23,0.09920608528111374,0.013195686428944834,0.013566062681076407,0.006884204724607978
2023-05-06,District of Columbia,22-23,0.08843364790460334,0.002199281071490806,0.004522020893692137,0.002220711201486445
2023-05-13,District of Columbia,22-23,0.12490010835876883,0.0032989216072362077,0,0.0019986400813378005
2022-11-19,District of Columbia,22-23,0.9502716131745437,0.5465213462654651,0.2803652954089124,0.038640374905864125
2022-12-03,District of Columbia,22-23,0.8688541699708077,0.6092008568029531,0.15600972083237868,0.04952185979314771
2023-01-07,District of Columbia,22-23,0.13952291445182638,0.10446585089581326,0.09722344921438093,0.08238838557514708
2023-02-18,District of Columbia,22-23,0.149188230129877,0.012096045893199429,0.015827073127922475,0.031756170181256156
2023-02-25,District of Columbia,22-23,0.1319296148915031,0.023092451250653453,0.013566062681076407,0.02043054305367529
2023-03-25,District of Columbia,22-23,0.2178338683057252,0.020893170179162653,0.009044041787384272,0.010437342646986288
2023-04-15,District of Columbia,22-23,0.10555310551729288,0.012096045893199429,0.0067830313405382045,0.0028869245619323777
2023-05-27,District of Columbia,22-23,0.17559952891050828,0.013195686428944834,0,0.0024427823216350898
2022-10-01,Maine,22-23,0.061590341012089864,0.0017285345087277935,0.012442234002308192,0.0697232135695687
2023-01-21,Maine,22-23,0.1279464235912596,0.0803768546558424,0.013627208669194688,0.04095489622281256
2023-02-18,Maine,22-23,0.05438605971023385,0.01123547430673066,0.004147411334102731,0.0561381748224894
2023-04-15,Maine,22-23,0.05712702020554154,0.007778405289275073,0,0.012785918820780505
2023-05-06,Maine,22-23,0.022605842908538207,0.0025928017630916906,5.924873334432473e-4,0.0011986798894481714
2023-05-13,Maine,22-23,0.0308758959323972,0.0025928017630916906,5.924873334432473e-4,3.99559963149389e-4
2022-10-15,Maine,22-23,0.08868728473219639,0.004321336271819484,0.02192203133740015,0.08151023248247573
2022-10-22,Maine,22-23,0.10836642240597939,0.007778405289275073,0.03377177800626509,0.064928494011776
2022-12-03,Maine,22-23,0.5549152960411641,0.4796683261719628,0.06991350534630318,0.030566337180928396
2022-12-31,Maine,22-23,0.7324327963549148,0.6317793629400086,0.02784690467183262,0.03815797648076682
2023-01-07,Maine,22-23,0.38990424504622595,0.35262103978046994,0.02547695533805963,0.051743015227846106
2023-02-04,Maine,22-23,0.0559711541143168,0.023335215867825217,0.0035549240006594834,0.037358856554468044
2023-04-29,Maine,22-23,0.02399146598245785,0.004321336271819484,0.0011849746668864947,9.988999078734758e-4
2023-05-27,Maine,22-23,0.014402679779119552,0,0,0.002397359778896345
2022-11-05,Maine,22-23,0.17198590213768775,0.029385086648372492,0.0853181760158276,0.035361056738721086
2022-11-12,Maine,22-23,0.22096041687002357,0.05704163878801719,0.11494254268798997,0.02836875738360675
2022-11-19,Maine,22-23,0.2017845875224855,0.09074806170820918,0.11672000468831971,0.0215762380100671
2022-12-10,Maine,22-23,0.8072601463472453,0.6628929840971088,0.04858396134234627,0.032564136996675354
2022-12-17,Maine,22-23,1,0.9014307463015444,0.03851167667381107,0.03176501707037657
2022-12-24,Maine,22-23,0.8547443455161547,0.8357464349698882,0.026661930004946127,0.03616017666501987
2023-01-28,Maine,22-23,0.07967784781002049,0.026792284885280803,0.00651736066787572,0.04515027583588116
2023-02-11,Maine,22-23,0.0709603732935451,0.012964008815458453,0.004739898667545979,0.05054433533839794
2023-03-25,Maine,22-23,0.06706790435485895,0.00864267254363897,0.0011849746668864947,0.024972497696836928
2023-04-01,Maine,22-23,0.0705169826251865,0.009506939798002864,0.0011849746668864947,0.02297469788108997
2023-05-20,Maine,22-23,0,0.005185603526183382,0.0017774620003297417,0
2022-10-08,Maine,22-23,0.07325794312049419,0.0060498707805472784,0.016589645336410924,0.06732585379067235
2022-10-29,Maine,22-23,0.10443582404863831,0.015556810578550144,0.0651736066787572,0.04934565544894976
2022-11-26,Maine,22-23,0.40233879317557486,0.28434392668572206,0.08354071401549786,0.027569637457307963
2023-01-14,Maine,22-23,0.21871622822919137,0.15383957127677364,0.01540467066952443,0.03975621633336439
2023-02-25,Maine,22-23,0.08391892857640874,0.012099741561094555,0.0017774620003297417,0.056337954804064116
2023-03-04,Maine,22-23,0.07650765900185462,0.007778405289275073,0.0011849746668864947,0.049944995393673856
2023-03-11,Maine,22-23,0.05407775612510982,0.01123547430673066,0.004147411334102731,0.03635995664659457
2023-03-18,Maine,22-23,0.07669394844728293,0.009506939798002864,0.0017774620003297417,0.030566337180928396
2023-04-08,Maine,22-23,0.059443110035837285,0.009506939798002864,5.924873334432473e-4,0.014583938654952765
2023-04-22,Maine,22-23,0.050300438030761514,0.0034570690174555874,0.0011849746668864947,0.007192079336689034
2022-10-01,New Mexico,22-23,0.002392765475989188,0,0.0034764109044242903,0.05404803571497941
2022-10-22,New Mexico,22-23,0.0725789488878899,0.00392417353908549,0.016768570244870107,0.11596714459233447
2022-11-19,New Mexico,22-23,0.4670188795451203,0.21059731326425465,0.07157316567932363,0.20937054611919212
2022-12-10,New Mexico,22-23,0.97589362676158,0.7992233441270781,0.0359910775987456,0.15584724861503774
2023-01-28,New Mexico,22-23,0.10875569321460928,0.02812324369677935,0.006543832290681018,0.02781112517372726
2023-02-25,New Mexico,22-23,0.11565285172827643,0.00784834707817098,0.0018404528317540365,0.04197905686600342
2023-03-11,New Mexico,22-23,0.10875088156326428,0.011772520617256471,0.0018404528317540365,0.03725641296857805
2023-04-01,New Mexico,22-23,0.07615675535227474,0.008502376001351897,6.134842772513454e-4,0.055097512136629494
2023-04-08,New Mexico,22-23,0.059719466979011586,0.00784834707817098,4.0898951816756355e-4,0.053523297504154375
2023-04-22,New Mexico,22-23,0.02150464461830545,0.0032701446159045747,8.179790363351272e-4,0.03778115117940309
2023-04-29,New Mexico,22-23,0.04364992624425866,0.00392417353908549,2.044947590837818e-4,0.04617696255260377
2022-10-08,New Mexico,22-23,0.023147479863239142,6.540289231809157e-4,0.00572585325434589,0.05772120319075472
2022-10-15,New Mexico,22-23,0.04001712947878818,0.0013080578463618296,0.009815748436021527,0.08343337552118181
2022-12-03,New Mexico,22-23,0.8033546833177297,0.5683511342442152,0.05521358495262109,0.18155942094546482
2023-02-04,New Mexico,22-23,0.1118207151213705,0.009810433847713728,0.003067421386256727,0.028860601595377348
2023-05-20,New Mexico,22-23,0.014030087943239011,0.009810433847713728,2.044947590837818e-4,0.015217408113926233
2023-05-27,New Mexico,22-23,0,0.005886260308628236,0,0
2022-10-29,New Mexico,22-23,0.17974336026483329,0.016350723079522875,0.03292365621248887,0.1353824583928611
2022-11-26,New Mexico,22-23,0.7920816715951723,0.5330335723924456,0.0640068595932237,0.22878585991971867
2022-12-24,New Mexico,22-23,0.893779359665439,0.7298962782699011,0.024334876330970034,0.11176923890573412
2022-12-31,New Mexico,22-23,0.6744711651482469,0.5036022708493046,0.021062960185629528,0.12278874133306002
2023-01-07,New Mexico,22-23,0.3778445451683459,0.23937458588421492,0.018404528317540365,0.09130444868355744
2023-02-18,New Mexico,22-23,0.11276517354251643,0.006540289231809151,0.003271916145340509,0.041454318655178374
2023-03-04,New Mexico,22-23,0.12278646853661183,0.015042665233161046,0.0022494423499216,0.04460274792012864
2023-04-15,New Mexico,22-23,0.037007097873112633,0.0032701446159045747,0,0.06086963245570496
2023-05-06,New Mexico,22-23,0.02850147305269035,0.0032701446159045747,4.0898951816756355e-4,0.029385339806202393
2023-05-13,New Mexico,22-23,0.009580685206646681,0.005886260308628236,2.044947590837818e-4,0.02046479022217667
2022-11-05,New Mexico,22-23,0.2993603253226212,0.051014256008111374,0.04764727886652116,0.17421308599391425
2022-11-12,New Mexico,22-23,0.36191660445888857,0.08960196247578536,0.0664607967022291,0.18365837378876498
2022-12-17,New Mexico,22-23,1,0.8201522696688675,0.031083203380734833,0.12121452670058491
2023-01-14,New Mexico,22-23,0.14948907136503803,0.08567778893669988,0.009611253676937746,0.05667172676910463
2023-01-21,New Mexico,22-23,0.11258920457904237,0.0477441113922068,0.007770800845183708,0.035682198336102915
2023-02-11,New Mexico,22-23,0.13518128240131644,0.010464462770894639,0.0042943899407594174,0.023613219487126927
2023-03-18,New Mexico,22-23,0.09912689149451265,0.01438863630998013,0.0012269685545026909,0.04512748613095369
2023-03-25,New Mexico,22-23,0.06627706038347486,0.007194318154990065,2.044947590837818e-4,0.05772120319075472
2022-10-01,Pennsylvania,22-23,0.1107736179091602,0.004849577889623809,0.04604754941692652,0.12974358608226313
2022-10-08,Pennsylvania,22-23,0.1489745355532981,0.0024247889448119056,0.06837363398270908,0.11813494943279748
2022-10-15,Pennsylvania,22-23,0.2235978632697629,0.015761128141277385,0.1018627608313829,0.10925775670085316
2022-11-05,Pennsylvania,22-23,0.5146428173094552,0.18792114322292264,0.21070242308957288,0.11676922747403683
2022-11-19,Pennsylvania,22-23,0.611249485150832,0.3370456633288548,0.1604687328165621,0.08808906634006287
2022-12-17,Pennsylvania,22-23,0.8580016535461771,0.6243831532890656,0.04883830998764934,0.15091227644305344
2022-12-24,Pennsylvania,22-23,0.6841134879657519,0.564975824141174,0.03907064799011947,0.1632037740718994
2023-01-07,Pennsylvania,22-23,0.40307640704201314,0.2267177663399131,0.029302985992589604,0.16798380092756174
2023-02-18,Pennsylvania,22-23,0.16400826827896092,0.015761128141277385,0.008372281712168458,0.10584345180395152
2023-03-04,Pennsylvania,22-23,0.13999430548731245,0.0072743668344357176,0.005581521141445639,0.07101754185555458
2023-05-20,Pennsylvania,22-23,4.916244351046051e-4,0.0024247889448119056,0.0013953802853614097,0
2022-11-26,Pennsylvania,22-23,0.9230336461296086,0.6837904824369573,0.11860732425571983,0.10720917376271216
2022-12-31,Pennsylvania,22-23,0.6712994642280196,0.46677187187629177,0.03767526770475806,0.19598110108215538
2023-02-25,Pennsylvania,22-23,0.15845351504620148,0.010911550251653575,0.0069769014268070495,0.09696625907200718
2023-03-11,Pennsylvania,22-23,0.1566832286187902,0.00969915577924762,0.0069769014268070495,0.0635060710823709
2023-04-15,Pennsylvania,22-23,0.0476790750226013,0.003637183417217858,0.0013953802853614097,0.014340080566986976
2023-04-22,Pennsylvania,22-23,0.022534978914134807,0.0072743668344357176,0.0013953802853614097,0.010242914690704983
2022-10-22,Pennsylvania,22-23,0.21695243821330415,0.030309861810148813,0.1269796059678883,0.11335492257713516
2023-01-28,Pennsylvania,22-23,0.15294260791690725,0.03152225628255477,0.015349183138975507,0.11950067139155814
2023-02-04,Pennsylvania,22-23,0.1562913540690691,0.016973522613683338,0.011163042282891278,0.11335492257713516
2023-03-18,Pennsylvania,22-23,0.14244968728136898,0.0072743668344357176,0.004186140856084229,0.04984885149476426
