week_end,state,season,covid,flu,rsv,ili,ili_rescaled,flu_rescaled,rsv_rescaled,covid_rescaled,beta_flu,beta_rsv,beta_covid,flu_times_coef,rsv_times_coef,covid_times_coef
2022-10-08,Colorado,22-23,1.54,0.09,0.2,2.00319,0.006915864509632526,0,0.07509881422924901,0.30128205128205127,0.6612866280066897,0.14809903228499757,0.3197557048812982,0,0.011122061713102585,0.09633665467577572
2022-12-24,Colorado,22-23,2.25,5.73,0.93,8.89574,0.922550553827106,0.9724137931034484,0.3636363636363636,0.5288461538461539,0.6612866280066897,0.14809903228499757,0.3197557048812982,0.6430442382685743,0.05385419355818093,0.1691015746968404
2023-01-21,Colorado,22-23,1.37,0.64,0.35,2.85617,0.12022923580095703,0.09482758620689656,0.1343873517786561,0.24679487179487183,0.6612866280066897,0.14809903228499757,0.3197557048812982,0.06270821472477231,0.019902636749762517,0.07891406819185885
2023-02-04,Colorado,22-23,1.51,0.48,0.26,3.30984,0.18049662443109507,0.06724137931034484,0.09881422924901184,0.2916666666666667,0.6612866280066897,0.14809903228499757,0.3197557048812982,0.04446582498665673,0.014634291727766556,0.09326208059037865
2023-02-25,Colorado,22-23,1.9,0.22,0.15,3.08658,0.1508378478190982,0.02241379310344828,0.055335968379446626,0.4166666666666666,0.6612866280066897,0.14809903228499757,0.3197557048812982,0.014821941662218908,0.00819520336754927,0.13323154370054088
2023-03-25,Colorado,22-23,1.48,0.14,0.05,3.14582,0.15870753305825747,0.008620689655172417,0.015810276679841896,0.28205128205128205,0.6612866280066897,0.14809903228499757,0.3197557048812982,0.005700746793161121,0.002341486676442649,0.09018750650498153
2023-04-08,Colorado,22-23,1.13,0.14,0.05,2.65994,0.09416123555652386,0.008620689655172417,0.015810276679841896,0.16987179487179485,0.6612866280066897,0.14809903228499757,0.3197557048812982,0.005700746793161121,0.002341486676442649,0.05431747550868205
2023-04-15,Colorado,22-23,1.08,0.18,0.03,2.64899,0.0927065925219392,0.015517241379310345,0.007905138339920946,0.15384615384615388,0.6612866280066897,0.14809903228499757,0.3197557048812982,0.010261344227690013,0.0011707433382213243,0.04919318536635358
2023-04-29,Colorado,22-23,0.7,0.13,0.02,2.49728,0.07255281217702274,0.006896551724137933,0.003952569169960474,0.03205128205128204,0.6612866280066897,0.14809903228499757,0.3197557048812982,0.004560597434528896,5.853716691106623e-4,0.01024858028465699
2022-10-22,Colorado,22-23,1.98,0.2,0.59,3.00054,0.13940794035830714,0.018965517241379314,0.22924901185770746,0.44230769230769224,0.6612866280066897,0.14809903228499757,0.3197557048812982,0.012541642944954462,0.03395155680841841,0.14143040792826647
2022-10-29,Colorado,22-23,2.16,0.48,0.84,3.81954,0.2482072686984731,0.06724137931034484,0.3280632411067193,0.5,0.6612866280066897,0.14809903228499757,0.3197557048812982,0.04446582498665673,0.048585848536184965,0.1598778524406491
2022-12-03,Colorado,22-23,3.53,5.32,1.92,9.25633,0.970452812442711,0.9017241379310346,0.7549407114624505,0.939102564102564,0.6612866280066897,0.14809903228499757,0.3197557048812982,0.596298114564653,0.11180598880013648,0.30028340234044987
2022-12-17,Colorado,22-23,2.58,5.89,1.25,9.44431,0.9954248487569777,1,0.49011857707509876,0.6346153846153846,0.6612866280066897,0.14809903228499757,0.3197557048812982,0.6612866280066897,0.07258608696972212,0.20292188963620844
2022-12-31,Colorado,22-23,2.24,4.25,0.87,7.10632,0.6848366415945545,0.7172413793103449,0.33992094861660077,0.5256410256410257,0.6612866280066897,0.14809903228499757,0.3197557048812982,0.47430213319100506,0.05034196354351696,0.16807671666837468
2023-01-28,Colorado,22-23,1.29,0.5,0.32,3.12975,0.15657272816640586,0.0706896551724138,0.12252964426877469,0.22115384615384617,0.6612866280066897,0.14809903228499757,0.3197557048812982,0.04674612370392117,0.01814652174243053,0.07071520396413325
2023-02-11,Colorado,22-23,1.8,0.29,0.22,3.33002,0.18317741862633877,0.034482758620689655,0.08300395256916995,0.38461538461538464,0.6612866280066897,0.14809903228499757,0.3197557048812982,0.022802987172644472,0.012292805051323907,0.12298296341588393
2023-03-04,Colorado,22-23,1.75,0.23,0.1,3.11555,0.15468634176539195,0.024137931034482762,0.03557312252964427,0.36858974358974356,0.6612866280066897,0.14809903228499757,0.3197557048812982,0.01596209102085113,0.005268345021995961,0.11785867327355541
2023-03-11,Colorado,22-23,1.57,0.19,0.09,3.07529,0.1493380377861794,0.017241379310344827,0.03162055335968379,0.3108974358974359,0.6612866280066897,0.14809903228499757,0.3197557048812982,0.011401493586322236,0.004682973352885298,0.09941122876117284
2023-05-06,Colorado,22-23,0.7,0.15,0.03,2.41277,0.06132615620873531,0.010344827586206896,0.007905138339920946,0.03205128205128204,0.6612866280066897,0.14809903228499757,0.3197557048812982,0.006840896151793342,0.0011707433382213243,0.01024858028465699
2022-10-15,Colorado,22-23,1.7,0.14,0.39,2.33604,0.05113302743762306,0.008620689655172417,0.15019762845849802,0.3525641025641026,0.6612866280066897,0.14809903228499757,0.3197557048812982,0.005700746793161121,0.02224412342620517,0.11273438313122693
2022-11-05,Colorado,22-23,2.84,0.96,1.33,4.93605,0.3965290490221345,0.15,0.5217391304347826,0.7179487179487178,0.6612866280066897,0.14809903228499757,0.3197557048812982,0.09919299420100346,0.07726906032260743,0.2295681983763166
2023-01-07,Colorado,22-23,1.74,2.4,0.65,4.64253,0.35753664504850136,0.39827586206896554,0.25296442687747034,0.3653846153846154,0.6612866280066897,0.14809903228499757,0.3197557048812982,0.26337450184404365,0.037463786823082386,0.11683381524508973
