week_end,state,covid,flu,rsv,season,ili,ili_rescaled,flu_rescaled,rsv_rescaled,covid_rescaled,beta_flu,beta_rsv,beta_covid,flu_times_coef,rsv_times_coef,covid_times_coef
2022-10-01,Arizona,1.63,0.17,0.21,22-23,0.971223,0,0,0.14285714285714285,0.1379310344827586,0.4600014411834876,0.16151533478490834,0.4709280431933641,0,0.023073619254986903,0.06495559216460194
2022-11-12,Arizona,3.92,2.12,1.31,22-23,3.60994,0.5947333296219556,0.3181076672104405,0.9285714285714287,0.5766283524904214,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.1463299853683199,0.14997852515741492,0.2715504616881276
2022-12-10,Arizona,5.13,6.3,1.03,22-23,5.36996,0.9914195050629878,1,0.7285714285714286,0.8084291187739463,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.4600014411834876,0.11767545820043324,0.38071194296475025
2023-01-28,Arizona,1.52,0.5,0.23,22-23,1.55686,0.13199514876351393,0.05383360522022838,0.15714285714285717,0.11685823754789272,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.024763535985407977,0.0253809811804856,0.05503182113945443
2023-04-15,Arizona,1.72,0.39,0.03,22-23,1.40551,0.09788277921487235,0.03588907014681893,0.014285714285714285,0.15517241379310345,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.016509023990271987,0.0023073619254986907,0.0730750411851772
2023-04-29,Arizona,1.47,0.49,0.03,22-23,1.34099,0.08334078989687853,0.05220228384991843,0.014285714285714285,0.10727969348659003,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.02401312580403198,0.0023073619254986907,0.05052101612802373
2022-10-08,Arizona,1.61,0.2,0.26,22-23,1.33466,0.08191408821704438,0.004893964110929853,0.17857142857142858,0.13409961685823757,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.0022512305441279978,0.028842024068733634,0.06315127016002968
2022-12-17,Arizona,4.13,4.94,0.82,22-23,4.17597,0.7223093093749627,0.7781402936378468,0.5785714285714285,0.6168582375478927,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.35794565651635174,0.09344815798269696,0.2904958427361365
2022-12-31,Arizona,3.61,4.02,0.63,22-23,3.90219,0.6606027713173009,0.6280587275693311,0.4428571428571429,0.5172413793103448,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.2889079198297598,0.07152821969045942,0.24358347061725727
2023-01-21,Arizona,1.6,0.58,0.28,22-23,1.42827,0.103012594417562,0.06688417618270798,0.1928571428571429,0.13218390804597702,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.030766817436415968,0.03114938599423233,0.06224910915774354
2023-02-04,Arizona,1.53,0.38,0.18,22-23,1.73303,0.17170163137589717,0.03425774877650897,0.12142857142857143,0.11877394636015326,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.015758613808895986,0.01961257636673887,0.05593398214174057
2023-02-25,Arizona,1.9,0.37,0.13,22-23,1.83234,0.19408484525019912,0.03262642740619902,0.08571428571428573,0.1896551724137931,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.015008203627519987,0.013844171552992146,0.08931393922632767
2023-03-04,Arizona,1.88,0.33,0.11,22-23,1.62191,0.14665659335643855,0.026101141924959218,0.07142857142857144,0.18582375478927202,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.012006562902015992,0.011536809627493455,0.08750961722175539
2023-05-27,Arizona,0.91,0.75,0.01,22-23,1.28521,0.07076868567868741,0.09461663947797716,0,0,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.04352379051980797,0,0
2022-10-22,Arizona,1.98,0.27,0.39,22-23,1.35059,0.08550450808430478,0.016313213703099513,0.27142857142857146,0.20498084291187738,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.007504101813759995,0.04383987658447513,0.09653122724461677
2022-11-19,Arizona,4.9,3.17,1.41,22-23,4.44472,0.7828821492573376,0.4893964110929853,1,0.7643678160919541,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.2251230544127998,0.16151533478490834,0.3599622399121692
2022-12-24,Arizona,3.83,4.94,0.73,22-23,4.25122,0.7392697045420276,0.7781402936378468,0.5142857142857143,0.5593869731800767,0.4600014411834876,0.16151533478490834,0.4709280431933641,0.35794565651635174,0.08306502931795287,0.26343101266755237
