,name_location,name_proxy,start_date,end_date
124,Virginia,Virginia,2023-09-02,2024-01-06
125,Virginia,Virginia,2024-08-31,2025-01-11
126,Washington,Washington,2022-11-12,2022-12-17
127,Washington,Washington,2023-09-09,2024-01-13
128,Washington,Washington,2024-09-28,2025-01-11
129,West Virginia,West Virginia,2022-11-12,2022-12-17
130,West Virginia,West Virginia,2023-11-04,2024-03-02
131,West Virginia,West Virginia,2024-08-24,2025-01-11
132,West Virginia,West Virginia,2024-10-05,2024-11-09
133,Wisconsin,Wisconsin,2022-11-26,2022-12-31
134,Wisconsin,Wisconsin,2023-09-23,2024-03-09
135,Wisconsin,Wisconsin,2024-10-19,2025-01-11
136,Wyoming,Wyoming,2022-11-12,2022-12-17
137,Wyoming,Wyoming,2023-12-02,2024-02-17
138,Wyoming,Wyoming,2024-11-09,2025-01-11
139,District of Columbia,District of Columbia,2023-11-25,2024-01-06
140,District of Columbia,District of Columbia,2024-11-30,2025-01-11
