,name_location,name_proxy,start_date,end_date
120,North Carolina,North Carolina,2024-07-06,2024-09-07
121,North Carolina,North Carolina,2024-12-21,2025-02-08
122,North Dakota,North Dakota,2023-07-29,2023-12-30
123,North Dakota,North Dakota,2024-07-27,2024-09-14
124,North Dakota,North Dakota,2024-12-14,2025-01-18
125,Ohio,Ohio,2022-12-03,2022-12-31
126,Ohio,Ohio,2023-08-05,2023-09-30
127,Ohio,Ohio,2023-11-25,2024-01-06
128,Ohio,Ohio,2024-07-06,2024-09-14
129,Ohio,Ohio,2024-12-21,2025-01-11
130,Oklahoma,Oklahoma,2022-11-26,2023-01-07
131,Oklahoma,Oklahoma,2024-06-29,2024-09-07
132,Oklahoma,Oklahoma,2024-12-07,2025-01-11
133,Oregon,Oregon,2022-11-19,2022-12-31
134,Oregon,Oregon,2024-06-22,2024-09-07
135,Pennsylvania,Pennsylvania,2022-12-17,2023-01-14
136,Pennsylvania,Pennsylvania,2023-07-15,2023-10-07
137,Pennsylvania,Pennsylvania,2023-11-18,2024-01-13
138,Pennsylvania,Pennsylvania,2024-07-06,2024-09-21
139,Pennsylvania,Pennsylvania,2024-12-21,2025-01-11
140,Rhode Island,Rhode Island,2022-12-17,2023-01-07
141,Rhode Island,Rhode Island,2023-06-10,2023-10-07
142,Rhode Island,Rhode Island,2023-12-09,2024-01-13
143,Rhode Island,Rhode Island,2024-07-06,2024-08-31
144,Rhode Island,Rhode Island,2024-12-14,2025-01-18
145,South Carolina,South Carolina,2022-12-10,2023-01-07
146,South Carolina,South Carolina,2023-07-22,2023-09-16
147,South Carolina,South Carolina,2023-12-16,2024-02-03
148,South Carolina,South Carolina,2024-07-06,2024-08-31
149,South Carolina,South Carolina,2024-12-14,2025-02-01
150,South Dakota,South Dakota,2024-06-15,2024-09-14
151,South Dakota,South Dakota,2024-11-23,2025-01-18
152,Tennessee,Tennessee,2022-11-26,2023-01-14
153,Tennessee,Tennessee,2023-07-22,2023-09-09
154,Tennessee,Tennessee,2023-11-11,2024-01-13
155,Tennessee,Tennessee,2024-07-06,2024-08-31
156,Tennessee,Tennessee,2024-12-14,2025-02-01
157,Texas,Texas,2022-12-03,2023-01-07
158,Texas,Texas,2023-07-22,2023-09-09
159,Texas,Texas,2023-12-02,2024-02-03
160,Texas,Texas,2024-06-22,2024-08-24
161,Texas,Texas,2024-12-21,2025-02-15
162,Utah,Utah,2023-08-05,2023-10-07
163,Utah,Utah,2023-11-11,2024-01-06
164,Utah,Utah,2024-07-20,2024-09-07
165,Vermont,Vermont,2023-08-19,2023-10-07
166,Vermont,Vermont,2023-11-18,2024-01-06
167,Vermont,Vermont,2024-07-13,2024-09-21
168,Virginia,Virginia,2022-12-10,2023-01-14
169,Virginia,Virginia,2023-07-29,2023-09-23
170,Virginia,Virginia,2023-12-02,2024-01-13
171,Virginia,Virginia,2024-07-06,2024-09-07
172,Virginia,Virginia,2024-12-14,2025-02-01
173,Washington,Washington,2022-12-10,2023-01-07
174,Washington,Washington,2024-06-22,2024-09-07
175,West Virginia,West Virginia,2022-12-10,2023-01-14
176,West Virginia,West Virginia,2024-07-06,2024-09-21
177,West Virginia,West Virginia,2024-08-24,2025-02-15
178,Wisconsin,Wisconsin,2024-06-29,2024-09-14
179,Wisconsin,Wisconsin,2024-12-21,2025-01-25
180,Wyoming,Wyoming,2023-07-22,2023-12-30
181,Wyoming,Wyoming,2024-05-25,2024-06-29
182,Wyoming,Wyoming,2024-11-09,2025-02-15
183,District of Columbia,District of Columbia,2022-12-03,2023-01-14
184,District of Columbia,District of Columbia,2023-08-12,2023-09-23
185,District of Columbia,District of Columbia,2023-12-09,2024-01-20
186,District of Columbia,District of Columbia,2024-06-01,2024-08-31
187,District of Columbia,District of Columbia,2024-12-21,2025-02-15
