name_location,name_proxy,start_date,end_date,season,peak_name_location,date_peak,time_diff
Texas,Texas,2023-12-02,2024-02-03,23-24,State,2024-01-06,35
Texas,Texas,2024-06-22,2024-08-24,24-25,State,2024-08-03,42
Utah,Utah,2023-08-05,2023-10-07,23-24,State,2023-12-30,147
Utah,Utah,2023-11-11,2024-01-06,23-24,State,2023-12-30,49
Vermont,Vermont,2023-08-19,2023-10-07,23-24,State,2023-12-09,112
Vermont,Vermont,2023-11-18,2024-01-06,23-24,State,2023-12-09,21
Vermont,Vermont,2024-07-13,2024-09-21,24-25,State,2024-08-24,42
Virginia,Virginia,2023-07-29,2023-09-23,23-24,State,2023-12-30,154
Virginia,Virginia,2023-12-02,2024-01-13,23-24,State,2023-12-30,28
Washington,Washington,2024-06-22,2024-09-07,24-25,State,2024-08-03,42
West Virginia,West Virginia,2024-07-06,2024-09-21,24-25,State,2024-09-07,63
West Virginia,West Virginia,2024-08-24,2025-02-15,24-25,State,2024-09-07,14
Wisconsin,Wisconsin,2024-06-29,2024-09-14,24-25,State,2024-08-17,49
Wisconsin,Wisconsin,2024-12-21,2025-01-25,24-25,State,2025-01-04,14
Wyoming,Wyoming,2023-07-22,2023-12-30,23-24,State,2023-12-02,133
District of Columbia,District of Columbia,2023-08-12,2023-09-23,23-24,State,2024-01-13,154
District of Columbia,District of Columbia,2023-12-09,2024-01-20,23-24,State,2024-01-13,35
District of Columbia,District of Columbia,2024-06-01,2024-08-31,24-25,State,2024-08-03,63
Georgia,Georgia,2024-12-21,2025-03-15,24-25,State,2025-03-08,77
South Dakota,South Dakota,2024-06-22,2024-09-14,24-25,State,2024-09-07,77
West Virginia,West Virginia,2024-08-24,2025-03-29,24-25,State,2024-09-07,14
