geography,rsv_season,Before ACIP range,During ACIP range,After ACIP range,total_all_months,total_ed_visits_2023,pop2020,visits_before_ACIP,visits_during_ACIP,visits_after_ACIP,visits_total,rate_before_ACIP_per_100k,rate_during_ACIP_per_100k,rate_after_ACIP_per_100k,rate_total_per_100k,pct_ed_visits_before_ACIP,pct_ed_visits_during_ACIP,pct_ed_visits_after_ACIP,pct_ed_visits_total
Alabama,2023-24,1.4900000000000002,16.219999999999995,0.23,17.939999999999994,2020198.338,5025369,3010.0955236200007,32767.61704235999,464.64561774000003,36242.35818371998,59.89800000000002,652.0439999999998,9.246,721.1879999999996,0.14900000000000005,1.6219999999999994,0.023,1.7939999999999992
Alabama,2024-25,1.3900000000000006,15.2,0.42000000000000004,17.01,2020198.338,5025369,2808.075689820001,30707.0147376,848.4833019600001,34363.573729380005,55.87800000000003,611.04,16.884,683.8020000000001,0.13900000000000007,1.52,0.042,1.701
Alaska,2023-24,0.9500000000000002,21.42,0.52,22.89,189215.91,733395,179.75511450000002,4053.0047922000003,98.3922732,4331.1521799,24.510000000000005,552.636,13.416,590.562,0.09500000000000001,2.1420000000000003,0.052000000000000005,2.289
Alaska,2024-25,0.9900000000000003,18.88,0.62,20.490000000000002,189215.91,733395,187.32375090000008,3572.3963808,117.3138642,3877.0339959000003,25.542000000000012,487.104,15.996,528.642,0.09900000000000005,1.8879999999999997,0.062,2.049
Arizona,2023-24,0.4700000000000002,10.83,0.24999999999999997,11.55,2011428.91,7158110,945.3715877000004,21783.7750953,502.8572274999999,23232.0039105,13.207000000000006,304.323,7.024999999999999,324.555,0.04700000000000002,1.083,0.024999999999999994,1.155
Arizona,2024-25,0.30000000000000004,7.799999999999999,0.37,8.469999999999999,2011428.91,7158110,603.4286730000001,15689.145497999998,744.2286967,17036.802867699997,8.430000000000001,219.17999999999998,10.397,238.00699999999992,0.03000000000000001,0.7799999999999999,0.037,0.8469999999999999
Arkansas,2023-24,0.7800000000000002,22.650000000000002,0.16999999999999998,23.600000000000005,1403383.698,3011553,1094.6392844400002,31786.640759700003,238.57522866,33119.85527280001,36.348000000000006,1055.49,7.922000000000001,1099.7600000000002,0.07800000000000001,2.265,0.016999999999999998,2.3600000000000003
Arkansas,2024-25,1.0400000000000005,17.970000000000006,0.39,19.400000000000006,1403383.698,3011553,1459.519045920001,25218.80505306001,547.31964222,27225.643741200012,48.464000000000034,837.4020000000003,18.174,904.0400000000004,0.10400000000000005,1.7970000000000004,0.039,1.9400000000000008
California,2023-24,0.3800000000000001,10.389999999999999,0.17,10.94,13686263.204,39555674,5200.780017520001,142200.27468956,2326.66474468,149727.71945176,13.148000000000003,359.494,5.882,378.524,0.038000000000000006,1.039,0.016999999999999998,1.094
California,2024-25,0.4000000000000002,7.879999999999999,0.35000000000000003,8.629999999999999,13686263.204,39555674,5474.5052816000025,107847.75404751998,4790.1921214,118112.45145051998,13.840000000000005,272.64799999999997,12.11,298.59799999999996,0.04000000000000002,0.7879999999999998,0.035,0.8629999999999999
