week_end,state,season,ili_rescaled,flu_rescaled,rsv_rescaled,covid_rescaled,rsv_lag1,rsv_lag2,rsv_lag3,rsv_lag4,rsv_lag5,cov_lag1,cov_lag2,cov_lag3,cov_lag4,cov_lag5,cov_lead1,cov_lead2,cov_lead3,cov_lead4,cov_lead5
2022-10-08,New York,22-23,0.17452022551631252,0.00386847195357833,0.18691588785046723,0.5870967741935484,0.0175438596491228,0.03508771929824562,0.07894736842105264,0.24561403508771928,0.6491228070175439,0.11576354679802955,0.15517241379310345,0.4285714285714286,1,0.4753694581280789,0.532258064516129,0.7483870967741936,0.7774193548387097,0.7999999999999999,1
2022-11-19,New York,22-23,0.48309689808854966,0.40812379110251457,0.9345794392523364,0.532258064516129,0.18691588785046723,0.0175438596491228,0.03508771929824562,0.07894736842105264,0.24561403508771928,0.5870967741935484,0.11576354679802955,0.15517241379310345,0.4285714285714286,1,0.7483870967741936,0.7774193548387097,0.7999999999999999,1,0.7032258064516129
2022-12-03,New York,22-23,0.8093832007058361,0.9400386847195356,0.5046728971962617,0.7483870967741936,0.9345794392523364,0.18691588785046723,0.0175438596491228,0.03508771929824562,0.07894736842105264,0.532258064516129,0.5870967741935484,0.11576354679802955,0.15517241379310345,0.4285714285714286,0.7774193548387097,0.7999999999999999,1,0.7032258064516129,0.31935483870967746
2022-12-10,New York,22-23,1,1,0.3831775700934579,0.7774193548387097,0.5046728971962617,0.9345794392523364,0.18691588785046723,0.0175438596491228,0.03508771929824562,0.7483870967741936,0.532258064516129,0.5870967741935484,0.11576354679802955,0.15517241379310345,0.7999999999999999,1,0.7032258064516129,0.31935483870967746,0.00645161290322581
2022-12-17,New York,22-23,0.5709341139449352,0.9709864603481624,0.27102803738317754,0.7999999999999999,0.3831775700934579,0.5046728971962617,0.9345794392523364,0.18691588785046723,0.0175438596491228,0.7774193548387097,0.7483870967741936,0.532258064516129,0.5870967741935484,0.11576354679802955,1,0.7032258064516129,0.31935483870967746,0.00645161290322581,0.5483870967741936
2022-12-31,New York,22-23,0.6063462930154239,0.632495164410058,0.17757009345794392,1,0.27102803738317754,0.3831775700934579,0.5046728971962617,0.9345794392523364,0.18691588785046723,0.7999999999999999,0.7774193548387097,0.7483870967741936,0.532258064516129,0.5870967741935484,0.7032258064516129,0.31935483870967746,0.00645161290322581,0.5483870967741936,0.567741935483871
2023-01-14,New York,22-23,0.2137249986900114,0.1334622823984526,0.102803738317757,0.7032258064516129,0.17757009345794392,0.27102803738317754,0.3831775700934579,0.5046728971962617,0.9345794392523364,1,0.7999999999999999,0.7774193548387097,0.7483870967741936,0.532258064516129,0.31935483870967746,0.00645161290322581,0.5483870967741936,0.567741935483871,0.603225806451613
2023-02-25,New York,22-23,0.16700726370991612,0.02514506769825919,0.03738317757009345,0.31935483870967746,0.102803738317757,0.17757009345794392,0.27102803738317754,0.3831775700934579,0.5046728971962617,0.7032258064516129,1,0.7999999999999999,0.7774193548387097,0.7483870967741936,0.00645161290322581,0.5483870967741936,0.567741935483871,0.603225806451613,0.364516129032258
2023-05-20,New York,22-23,0.0845247148827454,0.02127659574468084,0,0.00645161290322581,0.03738317757009345,0.102803738317757,0.17757009345794392,0.27102803738317754,0.3831775700934579,0.31935483870967746,0.7032258064516129,1,0.7999999999999999,0.7774193548387097,0.5483870967741936,0.567741935483871,0.603225806451613,0.364516129032258,0.08387096774193549
2022-10-22,New York,22-23,0.2130168967289938,0.02707930367504835,0.4205607476635514,0.5483870967741936,0,0.03738317757009345,0.102803738317757,0.17757009345794392,0.27102803738317754,0.00645161290322581,0.31935483870967746,0.7032258064516129,1,0.7999999999999999,0.567741935483871,0.603225806451613,0.364516129032258,0.08387096774193549,0.07419354838709677
2022-10-29,New York,22-23,0.230757683260328,0.08317214700193423,0.6542056074766355,0.567741935483871,0.4205607476635514,0,0.03738317757009345,0.102803738317757,0.17757009345794392,0.5483870967741936,0.00645161290322581,0.31935483870967746,0.7032258064516129,1,0.603225806451613,0.364516129032258,0.08387096774193549,0.07419354838709677,0
2023-01-21,New York,22-23,0.17944295034930674,0.07930367504835589,0.09345794392523364,0.603225806451613,0.6542056074766355,0.4205607476635514,0,0.03738317757009345,0.102803738317757,0.567741935483871,0.5483870967741936,0.00645161290322581,0.31935483870967746,0.7032258064516129,0.364516129032258,0.08387096774193549,0.07419354838709677,0,0.6129032258064515
2023-02-11,New York,22-23,0.17388859856708486,0.03094777562862669,0.04672897196261681,0.364516129032258,0.09345794392523364,0.6542056074766355,0.4205607476635514,0,0.03738317757009345,0.603225806451613,0.567741935483871,0.5483870967741936,0.00645161290322581,0.31935483870967746,0.08387096774193549,0.07419354838709677,0,0.6129032258064515,0.5612903225806453
2023-04-01,New York,22-23,0.14760385377411264,0.04835589941972921,0.00934579439252336,0.08387096774193549,0.04672897196261681,0.09345794392523364,0.6542056074766355,0.4205607476635514,0,0.364516129032258,0.603225806451613,0.567741935483871,0.5483870967741936,0.00645161290322581,0.07419354838709677,0,0.6129032258064515,0.5612903225806453,0.5548387096774194
2023-04-08,New York,22-23,0.11511613580262652,0.05029013539651838,0.00934579439252336,0.07419354838709677,0.00934579439252336,0.04672897196261681,0.09345794392523364,0.6542056074766355,0.4205607476635514,0.08387096774193549,0.364516129032258,0.603225806451613,0.567741935483871,0.5483870967741936,0,0.6129032258064515,0.5612903225806453,0.5548387096774194,0.6612903225806452
