state,season,model_type,n_weeks,beta_intercept,beta_covid,beta_flu,beta_rsv,flu_mean_contribution,flu_max_contribution,flu_sum_contribution,flu_peak_week,rsv_mean_contribution,rsv_max_contribution,rsv_sum_contribution,rsv_peak_week,covid_mean_contribution,covid_max_contribution,covid_sum_contribution,covid_peak_week,total_explained_variance,dominant_pathogen
Colorado,23-24,linear_no_regularization,52,0,0.19031202262286548,0.8915009216940233,0,0.1976913944592034,0.8915009216940233,10.279952511878577,9,0,0,0,1,0.07304507092371393,0.19031202262286548,3.7983436880331234,37,14.0782961999117,Flu
Connecticut,23-24,linear_no_regularization,52,0,0.23704584018702035,0.6435059904055426,0.2740698231395454,0.1619788785531193,0.6435059904055426,8.422901684762204,26,0.051232241546350095,0.2740698231395454,2.6640765604102046,6,0.061006223931725924,0.23704584018702035,3.1723236444497473,26,14.259301889622156,Flu
District of Columbia,23-24,linear_no_regularization,52,0,0.18849656006819362,0.9877756479341855,0.3048651873246338,0.1860713742393505,0.9877756479341855,9.67571146044623,34,0.0712829718017495,0.3048651873246338,3.706714533690975,32,0.07060058166697106,0.18849656006819362,3.671230246682496,35,17.0536562408197,Flu
Florida,23-24,linear_no_regularization,52,0,0.19462578802879207,0.925330722594253,0.09832481728714731,0.25675867809833236,0.925330722594253,13.351451261113281,17,0.029142908585349195,0.09832481728714731,1.5154312464381576,34,0.05802725016356444,0.19462578802879207,3.0174170085053507,13,17.88429951605679,Flu
Hawaii,23-24,linear_no_regularization,52,0,0.2110816473400643,0.8325051870203001,0,0.26704696191945687,0.8325051870203001,13.886442019811758,48,0,0,0,1,0.08855487251375897,0.2110816473400643,4.604853370715467,30,18.491295390527224,Flu
Illinois,23-24,linear_no_regularization,52,0,0.43065368908119545,0.596186022836652,0.16087263958377238,0.14297673850833734,0.596186022836652,7.434790402433542,48,0.042603382532167555,0.16087263958377238,2.215375891672713,7,0.12682281429314193,0.43065368908119545,6.59478634324338,48,16.244952637349634,Flu
Iowa,23-24,linear_no_regularization,52,0,0.1946764476919265,0.8014736852118034,0,0.21718532916859076,0.8014736852118034,11.293637116766723,7,0,0,0,1,0.05656657028667713,0.1946764476919265,2.9414616549072106,45,14.235098771673933,Flu
Montana,23-24,linear_no_regularization,52,0,0.09191976817414109,0.6980130014990585,0.2649542082295872,0.09981240904197612,0.6980130014990585,5.190245270182759,3,0.06666672627884088,0.2649542082295872,3.466669766499725,32,0.040350754444478894,0.09191976817414109,2.0982392311129026,4,10.755154267795387,Flu
Nevada,23-24,linear_no_regularization,52,0,0.13800894255123627,1.0577823963902164,0,0.21859544638466927,1.0577823963902164,11.366963212002805,24,0,0,0,1,0.06293411066831131,0.13800894255123627,3.2725737547521883,25,14.639536966754992,Flu
New Jersey,23-24,linear_no_regularization,52,0,0.09173533865755013,0.9076727317016734,0.29407547431855857,0.17684605566135586,0.9076727317016734,9.195994894390502,42,0.06674494070543785,0.29407547431855857,3.4707369166827684,6,0.021801692548718915,0.09173533865755013,1.1336880125333832,42,13.800419823606653,Flu
New York,23-24,linear_no_regularization,52,0,0.1878411480683792,0.5070054983746436,0.3069646009476637,0.10967785610138657,0.5070054983746436,5.703248517272102,18,0.07142830137436021,0.3069646009476637,3.714271671466734,17,0.04749307901865022,0.1878411480683792,2.4696401089698115,18,11.887160297708647,Flu
Oregon,23-24,linear_no_regularization,52,0,0.23279647749952606,1.0033537379186563,0,0.24697938164151542,1.0033537379186563,12.842927845358803,40,0,0,0,1,0.09169262967039737,0.23279647749952606,4.768016742860666,4,17.610944588219468,Flu
Pennsylvania,23-24,linear_no_regularization,52,0,0.275999743434242,0.6757450321189485,0.1418897045963615,0.13676640007284757,0.6757450321189485,7.111852803788074,17,0.02972790369579639,0.1418897045963615,1.5458509921814119,32,0.07585632521386745,0.275999743434242,3.944528911121107,17,12.602232707090593,Flu
Vermont,23-24,linear_no_regularization,52,0,0.44399034790909636,0.6395116641001602,0.040001013327514635,0.14184657211244156,0.6395116641001602,7.37602174984696,21,0.007941149110473963,0.040001013327514635,0.4129397537446461,48,0.14756226477777365,0.44399034790909636,7.67323776844423,47,15.462199272035836,Flu
Wyoming,23-24,linear_no_regularization,52,0,0.5254516907089191,0.14407010365587228,0.8512707160113576,0.03403133275034757,0.14407010365587228,1.7696293030180734,29,0.1885479921020315,0.8512707160113576,9.804495589305636,48,0.1613274921190887,0.5254516907089191,8.389029590192612,29,19.963154482516323,RSV
Alaska,23-24,linear_no_regularization,52,0,0.15513161879226714,1.0080126488331511,0.2228429136831292,0.22766407521937437,1.0080126488331511,11.838531911407468,46,0.04499712680140108,0.2228429136831292,2.339850593672857,8,0.05628394889730865,0.15513161879226714,2.9267653426600506,47,17.105147847740376,Flu
Delaware,23-24,linear_no_regularization,52,0,0.3871649333119714,0.6175210069159658,0.16895444190915995,0.13683516703062448,0.6175210069159658,7.115428685592476,33,0.031700147796334024,0.16895444190915995,1.6484076854093686,8,0.10432885983811262,0.3871649333119714,5.42510071158186,33,14.188937082583703,Flu
Georgia,23-24,linear_no_regularization,52,0,0.21507135653228104,0.7456774872402606,0.21631725746676492,0.12255347591217247,0.7456774872402606,6.372780747432971,19,0.0539683824397852,0.21631725746676492,2.8063558868688303,23,0.0780971781073102,0.21507135653228104,4.06105326158013,39,13.240189895881933,Flu
Ohio,23-24,linear_no_regularization,52,0,0.3145814106734421,0.8585071202137713,0,0.18211485681159073,0.8585071202137713,9.469972554202716,38,0,0,0,1,0.0843187016278742,0.3145814106734421,4.384572484649459,36,13.854545038852175,Flu
