week_end,state,covid,flu,rsv,season,year,epiweek,ili,ili_rescaled,flu_rescaled,rsv_rescaled,covid_rescaled,beta_intercept,beta_covid,beta_flu,beta_rsv,flu_times_coef,rsv_times_coef,covid_times_coef
2024-06-15,Utah,0.81,0.17,0.02,24-25,2024,24,0.829853,0.0829476932344675,0.012895662368112546,0.014705882352941176,0.1977401129943503,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.010899158731649856,0.0030229339234974983,0
2024-07-27,Utah,1.66,0.07,0.01,24-25,2024,30,0.736448,0.061698624253308104,0.001172332942555687,0.007352941176470588,0.6779661016949152,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,9.908326119681696e-4,0.0015114669617487492,0
2024-08-17,Utah,1.84,0.08,0.01,24-25,2024,33,0.762891,0.06771424580535347,0.0023446658851113723,0.007352941176470588,0.7796610169491526,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.001981665223936338,0.0015114669617487492,0
2024-09-14,Utah,1.87,0.1,0.01,24-25,2024,37,0.933737,0.10658067093414916,0.004689331770222745,0.007352941176470588,0.7966101694915255,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.003963330447872676,0.0015114669617487492,0
2024-09-21,Utah,1.73,0.1,0.01,24-25,2024,38,0.957824,0.11206031682622332,0.004689331770222745,0.007352941176470588,0.7175141242937854,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.003963330447872676,0.0015114669617487492,0
2024-11-16,Utah,0.78,0.32,0.04,24-25,2024,46,1.47891,0.23060421018435648,0.030480656506447833,0.029411764705882353,0.1807909604519774,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.025761647911172386,0.006045867846994997,0
2024-12-14,Utah,0.99,2.64,0.14,24-25,2024,50,2.29102,0.4153542921959123,0.30246189917936694,0.10294117647058824,0.2994350282485876,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.25563481388778747,0.02116053746448249,0
2025-01-04,Utah,1.29,7.5,0.6,24-25,2025,1,4.29233,0.8706401360231607,0.8722157092614303,0.4411764705882352,0.4689265536723164,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.7371794633043175,0.09068801770492493,0
2024-06-08,Utah,0.74,0.23,0.01,24-25,2024,23,1.51644,0.23914205675427153,0.019929660023446663,0.007352941176470588,0.1581920903954802,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.01684415440345887,0.0015114669617487492,0
2024-06-22,Utah,0.93,0.14,0.01,24-25,2024,25,0.83812,0.08482838541654818,0.00937866354044549,0.007352941176470588,0.2655367231638418,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.007926660895745351,0.0015114669617487492,0
2024-07-06,Utah,1.21,0.09,0.02,24-25,2024,27,0.825401,0.08193489033200918,0.0035169988276670576,0.014705882352941176,0.423728813559322,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.002972497835904506,0.0030229339234974983,0
2024-09-07,Utah,2.23,0.08,0,24-25,2024,36,1.09267,0.1427369610726065,0.0023446658851113723,0,1,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.001981665223936338,0,0
2024-10-19,Utah,0.86,0.14,0.02,24-25,2024,42,0.465238,0,0.00937866354044549,0.014705882352941176,0.22598870056497172,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.007926660895745351,0.0030229339234974983,0
2024-11-30,Utah,0.87,1,0.06,24-25,2024,48,1.78153,0.2994484182575695,0.11019929660023448,0.044117647058823525,0.23163841807909602,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.09313826552500785,0.009068801770492494,0
2024-12-07,Utah,1.05,1.61,0.15,24-25,2024,49,1.74373,0.29084914833103637,0.18171160609613132,0.1102941176470588,0.33333333333333337,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.15357905485506615,0.022672004426231233,0
2024-12-21,Utah,1.2,4.91,0.26,24-25,2024,51,3.1339,0.6071043619227968,0.5685814771395077,0.19117647058823528,0.4180790960451977,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.48055381680456183,0.039298141005467475,0
2024-12-28,Utah,1.48,8.59,0.45,24-25,2024,52,4.86096,1,1,0.33088235294117646,0.576271186440678,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.8451802180088478,0.06801601327869371,0
2025-01-25,Utah,0.63,4.97,0.83,24-25,2025,4,4.21655,0.8534006472656823,0.5756154747948418,0.6102941176470588,0.09604519774011298,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.4864988124763708,0.12545175782514617,0
2025-02-08,Utah,0.66,4.55,1.3,24-25,2025,6,3.73859,0.7446676564168525,0.526377491207503,0.9558823529411764,0.11299435028248588,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.44488384277370774,0.19649070502733737,0
2025-02-22,Utah,0.65,3.42,1.18,24-25,2025,8,3.36601,0.6599079741621513,0.39390386869871047,0.8676470588235293,0.10734463276836158,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.33291975762130466,0.1783531014863524,0
2024-07-13,Utah,1.47,0.07,0,24-25,2024,28,0.824897,0.0818202333996554,0.001172332942555687,0,0.5706214689265536,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,9.908326119681696e-4,0,0
2024-07-20,Utah,1.62,0.09,0.01,24-25,2024,29,0.636696,0.0390056514037967,0.0035169988276670576,0.007352941176470588,0.6553672316384181,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.002972497835904506,0.0015114669617487492,0
2024-08-10,Utah,2.06,0.06,0.01,24-25,2024,32,0.561703,0.021945200356164464,0,0.007352941176470588,0.903954802259887,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0,0.0015114669617487492,0
2024-08-24,Utah,2.12,0.08,0.01,24-25,2024,34,0.754351,0.06577144778491452,0.0023446658851113723,0.007352941176470588,0.9378531073446328,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.001981665223936338,0.0015114669617487492,0
2024-09-28,Utah,1.4,0.12,0,24-25,2024,39,0.8198,0.08066069692305382,0.007033997655334115,0,0.5310734463276836,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.005944995671809012,0,0
2024-10-12,Utah,0.94,0.15,0.02,24-25,2024,41,0.961996,0.11300942143292955,0.010550996483001172,0.014705882352941176,0.27118644067796605,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.008917493507713517,0.0030229339234974983,0
2024-11-02,Utah,0.79,0.17,0.05,24-25,2024,44,1.03916,0.13056376176655393,0.012895662368112546,0.03676470588235294,0.1864406779661017,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.010899158731649856,0.007557334808743746,0
2024-11-23,Utah,0.83,0.52,0.06,24-25,2024,47,1.73024,0.2877802554392657,0.05392731535756155,0.044117647058823525,0.20903954802259883,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.04557830015053576,0.009068801770492494,0
2025-02-01,Utah,0.63,4.68,1.17,24-25,2025,5,3.81687,0.7624758799578318,0.5416178194607268,0.8602941176470588,0.09604519774011298,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.4577646667292939,0.17684163452460364,0
2025-02-15,Utah,0.67,3.73,1.36,24-25,2025,7,3.3624,0.6590867211347761,0.43024618991793673,1,0.11864406779661019,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.3636355685923179,0.2055595067978299,0
2025-03-08,Utah,0.62,2.41,1.15,24-25,2025,10,2.53333,0.47047834235195035,0.2754982415005862,0.8455882352941175,0.09039548022598869,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.23284566381251967,0.17381870060110613,0
2025-03-29,Utah,0.46,1.37,0.4,24-25,2025,13,1.86084,0.31749096052935105,0.15357561547479487,0.29411764705882354,0,0.10125689012478489,0,0.8451802180088478,0.2055595067978299,0.1297990721678301,0.06045867846994997,0
2024-06-08,Arkansas,0.32,0.37,0.02,24-25,2024,23,1.16774,0.04078026007804365,0.02492522432701894,0.004464285714285714,0.0040000000000000036,0.049483095999183435,0.0559616061321775,0.7514810988520616,0.3849675909566033,0.01873083496640233,0.0017186053167705505,2.238464245287102e-4
2024-06-29,Arkansas,0.58,0.16,0.02,24-25,2024,26,0.853406,0,0.0039880358923230315,0.004464285714285714,0.10799999999999998,0.049483095999183435,0.0559616061321775,0.7514810988520616,0.3849675909566033,0.002996933594624374,0.0017186053167705505,0.00604385346227517
2024-07-13,Arkansas,1.21,0.12,0.02,24-25,2024,28,1.12307,0.034984977933298855,0,0.004464285714285714,0.36,0.049483095999183435,0.0559616061321775,0.7514810988520616,0.3849675909566033,0,0.0017186053167705505,0.0201461782075839
2024-07-20,Arkansas,1.45,0.21,0.01,24-25,2024,29,1.14627,0.037994840162044734,0.008973080757726818,0,0.45599999999999996,0.049483095999183435,0.0559616061321775,0.7514810988520616,0.3849675909566033,0.006743100587904839,0,0.02551849239627294
2024-09-07,Arkansas,2.43,0.22,0.03,24-25,2024,36,2.15919,0.16940646295261774,0.009970089730807577,0.008928571428571426,0.8480000000000001,0.049483095999183435,0.0559616061321775,0.7514810988520616,0.3849675909566033,0.007492333986560933,0.0034372106335411002,0.04745544200008653
2024-09-14,Arkansas,1.97,0.28,0.05,24-25,2024,37,2.00032,0.14879539345775303,0.015952143569292126,0.017857142857142856,0.6639999999999999,0.049483095999183435,0.0559616061321775,0.7514810988520616,0.3849675909566033,0.011987734378497495,0.006874421267082202,0.037158506471765856
2024-09-28,Arkansas,0.98,0.22,0.02,24-25,2024,39,1.69283,0.10890304273718945,0.009970089730807577,0.004464285714285714,0.26799999999999996,0.049483095999183435,0.0559616061321775,0.7514810988520616,0.3849675909566033,0.007492333986560933,0.0017186053167705505,0.014997710443423568
2024-10-12,Arkansas,0.54,0.22,0.08,24-25,2024,41,1.62591,0.10022114703254827,0.009970089730807577,0.03125,0.09200000000000001,0.049483095999183435,0.0559616061321775,0.7514810988520616,0.3849675909566033,0.007492333986560933,0.012030237217393854,0.005148467764160331
2024-12-21,Arkansas,0.97,1.78,1.84,24-25,2024,51,5.35988,0.5846493912683378,0.16550348953140578,0.8169642857142857,0.26399999999999996,0.049483095999183435,0.0559616061321775,0.7514810988520616,0.3849675909566033,0.12437274417691149,0.31450477296901075,0.014773864018894857
2025-01-04,Arkansas,1.14,2.75,1.99,24-25,2025,1,4.82112,0.5147531251321679,0.26221335992023925,0.8839285714285713,0.33199999999999996,0.049483095999183435,0.0559616061321775,0.7514810988520616,0.3849675909566033,0.19704838384655252,0.34028385272056894,0.018579253235882928
2025-01-11,Arkansas,0.83,2.68,1.43,24-25,2025,2,4.5962,0.48557302976623995,0.25523429710867396,0.6339285714285713,0.20800000000000002,0.049483095999183435,0.0559616061321775,0.7514810988520616,0.3849675909566033,0.19180375005595987,0.24404195498141812,0.011640014075492922
2025-02-01,Arkansas,0.95,10.15,0.74,24-25,2025,5,8.5614,1,1,0.3258928571428571,0.25599999999999995,0.049483095999183435,0.0559616061321775,0.7514810988520616,0.3849675909566033,0.7514810988520616,0.12545818812425016,0.014326171169837438
2025-02-22,Arkansas,0.98,5.43,0.53,24-25,2025,8,4.92118,0.5277344533480435,0.5294117647058822,0.23214285714285712,0.26799999999999996,0.049483095999183435,0.0559616061321775,0.7514810988520616,0.3849675909566033,0.3978429346863855,0.08936747647206862,0.014997710443423568
2024-06-01,Arkansas,0.31,0.28,0.03,24-25,2024,22,1.70512,0.1104974913057794,0.015952143569292126,0.008928571428571426,0,0.049483095999183435,0.0559616061321775,0.7514810988520616,0.3849675909566033,0.011987734378497495,0.0034372106335411002,0
2024-06-22,Arkansas,0.48,0.19,0.04,24-25,2024,25,0.885649,0.0041830598207523275,0.006979062811565304,0.01339285714285714,0.06799999999999999,0.049483095999183435,0.0559616061321775,0.7514810988520616,0.3849675909566033,0.005244633790592653,0.005155815950311651,0.0038053892169880696
2024-10-26,Arkansas,0.75,0.22,0.11,24-25,2024,43,1.90495,0.13642252445967132,0.009970089730807577,0.044642857142857144,0.176,0.049483095999183435,0.0559616061321775,0.7514810988520616,0.3849675909566033,0.007492333986560933,0.017186053167705505,0.00984924267926324
2024-12-07,Arkansas,0.72,0.54,0.84,24-25,2024,49,2.71189,0.2411112411348529,0.04187437686939182,0.37053571428571425,0.16399999999999998,0.049483095999183435,0.0559616061321775,0.7514810988520616,0.3849675909566033,0.031467802743555914,0.1426442412919557,0.009177703405677109
