,name_location,name_proxy,start_date,end_date
119,Pennsylvania,Pennsylvania,2022-12-17,2023-01-14
120,Pennsylvania,Pennsylvania,2023-07-15,2023-10-07
121,Pennsylvania,Pennsylvania,2023-11-18,2024-01-13
122,Pennsylvania,Pennsylvania,2024-06-29,2024-09-21
123,Pennsylvania,Pennsylvania,2024-12-21,2025-01-11
124,Rhode Island,Rhode Island,2022-12-17,2023-01-07
125,Rhode Island,Rhode Island,2023-06-10,2023-10-07
126,Rhode Island,Rhode Island,2023-12-09,2024-01-13
127,Rhode Island,Rhode Island,2024-07-06,2024-09-07
128,South Carolina,South Carolina,2022-12-10,2023-01-07
129,South Carolina,South Carolina,2023-07-22,2023-09-16
130,South Carolina,South Carolina,2023-12-16,2024-02-03
131,South Carolina,South Carolina,2024-06-29,2024-08-31
132,South Dakota,South Dakota,2024-06-15,2024-09-14
133,South Dakota,South Dakota,2024-11-23,2025-01-11
134,Tennessee,Tennessee,2022-11-26,2023-01-14
135,Tennessee,Tennessee,2023-07-22,2023-09-09
136,Tennessee,Tennessee,2023-11-11,2024-01-13
137,Tennessee,Tennessee,2024-07-06,2024-08-31
138,Tennessee,Tennessee,2024-12-14,2025-01-11
139,Texas,Texas,2022-12-03,2023-01-07
140,Texas,Texas,2023-07-22,2023-09-09
141,Texas,Texas,2023-12-02,2024-02-03
142,Texas,Texas,2024-06-15,2024-08-24
143,Texas,Texas,2024-12-21,2025-01-11
144,Utah,Utah,2023-08-05,2023-10-07
145,Utah,Utah,2023-11-11,2024-01-06
146,Utah,Utah,2024-07-20,2024-09-07
147,Vermont,Vermont,2023-08-19,2023-10-07
148,Vermont,Vermont,2023-11-18,2024-01-06
149,Vermont,Vermont,2024-07-13,2024-09-21
150,Virginia,Virginia,2022-12-10,2023-01-14
151,Virginia,Virginia,2023-07-29,2023-09-23
152,Virginia,Virginia,2023-12-02,2024-01-13
153,Virginia,Virginia,2024-06-29,2024-09-07
154,Washington,Washington,2022-12-10,2023-01-07
155,Washington,Washington,2024-06-22,2024-09-07
156,West Virginia,West Virginia,2022-12-10,2023-01-14
157,West Virginia,West Virginia,2024-07-06,2024-09-21
158,West Virginia,West Virginia,2024-08-24,2025-01-11
159,Wyoming,Wyoming,2023-07-22,2023-12-30
160,Wyoming,Wyoming,2024-05-25,2024-06-29
161,Wyoming,Wyoming,2024-11-09,2025-01-11
162,District of Columbia,District of Columbia,2022-12-03,2023-01-14
163,District of Columbia,District of Columbia,2023-08-12,2023-09-23
164,District of Columbia,District of Columbia,2023-12-09,2024-01-20
165,District of Columbia,District of Columbia,2024-06-01,2024-08-31
