YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
2020,40,12200,19,21,0.327869,0.155738,0.172131
2020,41,14924,30,28,0.388636,0.201018,0.187617
2020,42,15112,27,26,0.350715,0.178666,0.172049
2020,43,16611,21,21,0.252845,0.126422,0.126422
2020,44,20552,22,19,0.199494,0.107046,0.0924484
2020,45,27187,31,25,0.205981,0.114025,0.0919557
2020,46,34907,32,44,0.217721,0.0916722,0.126049
2020,47,38746,34,54,0.22712,0.087751,0.139369
2020,48,35276,19,36,0.155913,0.053861,0.102052
2020,49,42526,31,65,0.225744,0.0728966,0.152848
2020,50,41778,26,76,0.244148,0.0622337,0.181914
2020,51,40917,36,81,0.285945,0.087983,0.197962
2020,52,36310,34,67,0.27816,0.0936381,0.184522
2020,53,40471,34,73,0.264387,0.0840108,0.180376
2021,1,44971,28,95,0.27351,0.0622623,0.211247
2021,2,41807,24,48,0.17222,0.0574067,0.114813
2021,3,39002,21,62,0.21281,0.0538434,0.158966
2021,4,36455,12,50,0.170073,0.0329173,0.137155
2021,5,36559,21,53,0.202413,0.0574414,0.144971
2021,6,34089,11,35,0.134941,0.0322685,0.102672
2021,7,32424,19,22,0.12645,0.0585986,0.067851
2021,8,34328,17,25,0.122349,0.0495223,0.0728268
2021,9,34184,14,17,0.0906857,0.0409548,0.0497309
2021,10,34191,15,21,0.105291,0.0438712,0.0614197
2021,11,34680,26,19,0.129758,0.0749712,0.0547866
2021,12,35763,13,17,0.0838856,0.0363504,0.0475352
2021,13,31900,13,9,0.0689655,0.0407524,0.0282132
2021,14,31520,10,14,0.0761421,0.0317259,0.0444162
2021,15,30238,8,13,0.069449,0.0264568,0.0429923
2021,16,30568,12,16,0.0915991,0.0392567,0.0523423
2021,17,31247,16,10,0.083208,0.0512049,0.0320031
2021,18,30176,10,15,0.0828473,0.0331389,0.0497084
2021,19,29035,17,13,0.103324,0.05855,0.0447735
2021,20,28416,23,20,0.151323,0.0809403,0.0703829
2021,21,24574,14,23,0.150566,0.0569708,0.0935949
2021,22,23886,7,15,0.0921042,0.0293059,0.0627983
2021,23,25258,8,18,0.102938,0.0316731,0.0712645
2021,24,24440,17,12,0.118658,0.0695581,0.0490998
2021,25,22366,12,17,0.129661,0.0536529,0.0760082
2021,26,22756,3,13,0.0703111,0.0131833,0.0571278
2021,27,25064,5,9,0.055857,0.0199489,0.0359081
2021,28,26255,11,17,0.106646,0.0418968,0.0647496
2021,29,27718,5,13,0.0649398,0.0180388,0.0469009
2021,30,30276,11,12,0.0759678,0.0363324,0.0396354
2021,31,28889,14,18,0.110769,0.0484614,0.0623075
2021,32,35191,8,11,0.0539911,0.0227331,0.031258
2021,33,33470,14,10,0.071706,0.0418285,0.0298775
2021,34,40107,13,11,0.0598399,0.0324133,0.0274266
2021,35,41117,22,13,0.0851229,0.0535058,0.0316171
2021,36,36912,11,9,0.0541829,0.0298006,0.0243823
2021,37,43510,11,14,0.0574581,0.0252815,0.0321765
2021,38,40634,12,17,0.0713688,0.0295319,0.0418369
2021,39,44256,29,23,0.117498,0.0655278,0.0519704
