YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
2021,40,49688,41,37,0.15698,0.0825149,0.0744647
2021,41,46313,24,32,0.120916,0.0518213,0.0690951
2021,42,48913,26,39,0.132889,0.0531556,0.0797334
2021,43,51914,99,33,0.254267,0.1907,0.0635667
2021,44,57035,124,37,0.282283,0.21741,0.0648724
2021,45,63268,309,36,0.545299,0.488399,0.0569008
2021,46,72905,687,45,1.00405,0.942322,0.0617242
2021,47,71888,1285,39,1.84175,1.7875,0.0542511
2021,48,85248,2395,71,2.89274,2.80945,0.0832864
2021,49,97782,3913,51,4.05392,4.00176,0.0521568
2021,50,108196,6681,61,6.23128,6.1749,0.0563792
2021,51,126904,7240,78,5.76656,5.7051,0.0614638
2021,52,147040,6088,109,4.2145,4.14037,0.0741295
2022,1,150872,3606,68,2.43518,2.39011,0.0450713
2022,2,129424,2600,72,2.06453,2.0089,0.0556311
2022,3,106771,2190,72,2.11855,2.05112,0.067434
2022,4,87124,1722,46,2.02929,1.97649,0.0527983
2022,5,68893,1570,41,2.33841,2.2789,0.0595126
2022,6,64800,1855,47,2.93519,2.86265,0.0725309
2022,7,62953,2525,65,4.11418,4.01093,0.103252
2022,8,61128,2813,33,4.6558,4.60182,0.0539851
2022,9,61079,3612,43,5.98405,5.91365,0.0704006
2022,10,62009,4206,54,6.86997,6.78289,0.0870841
2022,11,62581,4951,52,7.99444,7.91135,0.0830923
2022,12,66581,5483,36,8.28915,8.23508,0.0540695
2022,13,66402,5564,115,8.55245,8.37927,0.173188
2022,14,70497,6660,34,9.49544,9.44721,0.048229
2022,15,69489,6844,26,9.88646,9.84904,0.037416
2022,16,71915,6303,52,8.83682,8.76451,0.0723076
2022,17,76971,6235,43,8.15632,8.10045,0.0558652
2022,18,79892,6702,51,8.45266,8.38882,0.0638362
2022,19,84554,6086,63,7.27228,7.19777,0.0745086
2022,20,84708,5059,27,6.00416,5.97228,0.0318742
2022,21,82842,4756,39,5.78813,5.74105,0.0470776
2022,22,78158,3785,46,4.90161,4.84275,0.0588551
2022,23,75043,2451,34,3.31143,3.26613,0.0453074
2022,24,69476,1600,42,2.36341,2.30295,0.0604525
2022,25,66510,1084,40,1.68997,1.62983,0.0601413
2022,26,64429,780,37,1.26806,1.21063,0.0574276
2022,27,63996,593,30,0.973498,0.92662,0.0468779
2022,28,61558,438,50,0.792748,0.711524,0.0812242
2022,29,62251,348,38,0.62007,0.559027,0.0610432
2022,30,57937,268,31,0.516078,0.462571,0.0535064
2022,31,54829,240,29,0.490616,0.437725,0.0528917
2022,32,52169,224,27,0.481129,0.429374,0.0517549
2022,33,53636,223,34,0.479156,0.415766,0.0633903
2022,34,57496,300,41,0.593085,0.521775,0.0713093
2022,35,59999,335,35,0.616677,0.558343,0.0583343
2022,36,59748,428,22,0.753163,0.716342,0.0368213
2022,37,62269,503,37,0.867205,0.807786,0.0594196
2022,38,67455,775,65,1.24527,1.14891,0.0963605
2022,39,66897,1268,83,2.01952,1.89545,0.124071
